"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","30-day Moving Average","Prior Year: 30-day Moving Average"
"2019-01-01 00:00:00",353,276,174,20,291,,
"2019-01-02 00:00:00",374,299,173,23,314,,
"2019-01-03 00:00:00",403,315,190,30,329,,
"2019-01-04 00:00:00",390,284,164,25,293,,
"2019-01-05 00:00:00",423,302,179,17,318,,
"2019-01-06 00:00:00",368,265,149,23,281,,
"2019-01-07 00:00:00",420,356,219,33,338,,
"2019-01-08 00:00:00",378,306,180,28,339,,
"2019-01-09 00:00:00",408,322,152,24,320,,
"2019-01-10 00:00:00",360,297,188,26,337,,
"2019-01-11 00:00:00",405,326,212,41,327,,
"2019-01-12 00:00:00",418,272,160,33,325,,
"2019-01-13 00:00:00",368,275,174,18,261,,
"2019-01-14 00:00:00",394,344,219,23,405,,
"2019-01-15 00:00:00",352,250,171,22,307,,
"2019-01-16 00:00:00",410,328,158,40,347,,
"2019-01-17 00:00:00",387,315,159,19,342,,
"2019-01-18 00:00:00",375,312,180,38,351,,
"2019-01-19 00:00:00",414,269,175,20,302,,
"2019-01-20 00:00:00",371,281,175,23,271,,
"2019-01-21 00:00:00",342,317,180,24,359,,
"2019-01-22 00:00:00",390,326,191,32,343,,
"2019-01-23 00:00:00",416,334,189,29,328,,
"2019-01-24 00:00:00",362,299,163,21,314,,
"2019-01-25 00:00:00",400,297,192,32,357,,
"2019-01-26 00:00:00",396,302,181,27,292,,
"2019-01-27 00:00:00",354,273,154,28,289,,
"2019-01-28 00:00:00",379,302,190,35,370,,
"2019-01-29 00:00:00",399,311,171,29,312,,
"2019-01-30 00:00:00",385,331,169,35,317,1216.9333333333334,
"2019-01-31 00:00:00",351,279,166,27,328,1218.1666666666667,
"2019-02-01 00:00:00",399,313,166,26,380,1221.5333333333333,
"2019-02-02 00:00:00",382,274,150,25,354,1218.8,
"2019-02-03 00:00:00",342,292,157,19,264,1216.0666666666666,
"2019-02-04 00:00:00",308,208,174,29,274,1207.8666666666666,
"2019-02-05 00:00:00",327,228,124,24,311,1205.4666666666667,
"2019-02-06 00:00:00",315,232,140,17,281,1192.7666666666667,
"2019-02-07 00:00:00",278,259,113,20,273,1183.1666666666667,
"2019-02-08 00:00:00",300,258,119,21,350,1177.2333333333333,
"2019-02-09 00:00:00",305,269,144,22,276,1170.8333333333333,
"2019-02-10 00:00:00",280,247,128,26,264,1158.6333333333334,
"2019-02-11 00:00:00",322,258,182,21,331,1155.5,
"2019-02-12 00:00:00",340,285,150,23,320,1156.2333333333333,
"2019-02-13 00:00:00",299,287,161,22,344,1147.1666666666667,
"2019-02-14 00:00:00",304,283,169,28,338,1147.8333333333333,
"2019-02-15 00:00:00",358,259,157,31,318,1142.5,
"2019-02-16 00:00:00",361,302,194,25,347,1142.7333333333333,
"2019-02-17 00:00:00",302,269,144,21,303,1135.5,
"2019-02-18 00:00:00",341,299,199,30,375,1137.6333333333334,
"2019-02-19 00:00:00",305,256,184,29,314,1136.5333333333333,
"2019-02-20 00:00:00",361,302,188,27,342,1136.4666666666667,
"2019-02-21 00:00:00",316,302,181,31,340,1132.7333333333333,
"2019-02-22 00:00:00",422,325,187,31,364,1133.8333333333333,
"2019-02-23 00:00:00",392,304,172,24,319,1135.5666666666666,
"2019-02-24 00:00:00",379,275,170,26,259,1129.9333333333334,
"2019-02-25 00:00:00",349,291,188,34,323,1129.5,
"2019-02-26 00:00:00",349,304,199,31,348,1133.9333333333334,
"2019-02-27 00:00:00",366,307,177,29,373,1133.1333333333334,
"2019-02-28 00:00:00",382,308,189,31,354,1134.5333333333333,
"2019-03-01 00:00:00",414,317,198,25,328,1136.0333333333333,
"2019-03-02 00:00:00",392,305,152,24,309,1137.0666666666666,
"2019-03-03 00:00:00",363,270,188,21,302,1132.4,
"2019-03-04 00:00:00",399,302,186,38,361,1135.7666666666667,
"2019-03-05 00:00:00",356,305,177,27,319,1139.4333333333334,
"2019-03-06 00:00:00",379,268,178,29,294,1144.6,
"2019-03-07 00:00:00",394,316,222,26,346,1154.2666666666667,
"2019-03-08 00:00:00",446,285,188,32,326,1164,
