"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","30-day Moving Average","Prior Year: 30-day Moving Average"
"2019-01-01 00:00:00",1214555,570175,140972,15134,1878589,,
"2019-01-02 00:00:00",1738319,713341,149655,32824,1685751,,
"2019-01-03 00:00:00",1757392,716868,196665,31891,2363699,,
"2019-01-04 00:00:00",1798828,919389,143104,29971,1618370,,
"2019-01-05 00:00:00",1459700,1023559,151541,40827,2949196,,
"2019-01-06 00:00:00",1207071,561054,168790,32175,1765672,,
"2019-01-07 00:00:00",1707276,1430772,288014,42543,1663785,,
"2019-01-08 00:00:00",1064382,845570,164596,19134,2136391,,
"2019-01-09 00:00:00",1857487,1228233,191892,31922,1791390,,
"2019-01-10 00:00:00",1837921,1068721,157087,43456,2441760,,
"2019-01-11 00:00:00",1375758,1228441,177339,47283,1913901,,
"2019-01-12 00:00:00",1163356,831870,162935,33987,1727609,,
"2019-01-13 00:00:00",1567507,1036567,188364,46153,1428372,,
"2019-01-14 00:00:00",864236,616771,220619,45848,2437830,,
"2019-01-15 00:00:00",1122990,1087748,195560,37768,1777316,,
"2019-01-16 00:00:00",1672658,1020370,270571,27753,1880871,,
"2019-01-17 00:00:00",1532664,1197384,150151,49116,1288084,,
"2019-01-18 00:00:00",1313924,846650,134040,55810,2017519,,
"2019-01-19 00:00:00",1349818,570648,138850,44314,1914759,,
"2019-01-20 00:00:00",1312584,1004028,230984,39400,1523945,,
"2019-01-21 00:00:00",1172595,1462231,263496,58896,1703709,,
"2019-01-22 00:00:00",1552971,819484,211741,43552,1720098,,
"2019-01-23 00:00:00",1112271,784236,171811,52671,2505967,,
"2019-01-24 00:00:00",1357359,501197,162848,31044,1462611,,
"2019-01-25 00:00:00",1088839,1097105,156171,51237,2309295,,
"2019-01-26 00:00:00",1302938,1178705,193454,41989,2369603,,
"2019-01-27 00:00:00",1131658,406908,184270,28673,1931091,,
"2019-01-28 00:00:00",1056794,954112,195812,46895,2320235,,
"2019-01-29 00:00:00",1505884,1005971,156342,51262,2341222,,
"2019-01-30 00:00:00",1273957,843548,233538,39109,1963304,4487424.833333333,
"2019-01-31 00:00:00",1309080,1179740,204863,35726,2120993,4521791.633333334,
"2019-02-01 00:00:00",1597348,877881,157389,50534,2719143,4557872.066666666,
"2019-02-02 00:00:00",823556,683531,155780,56204,2154991,4518123.3,
"2019-02-03 00:00:00",1261573,797054,164102,34216,1836872,4504261.7,
"2019-02-04 00:00:00",1125587,795047,217594,58752,1713770,4447126.4,
"2019-02-05 00:00:00",1510742,494589,193683,57658,2030912,4465554.166666667,
"2019-02-06 00:00:00",1341043,1000489,200818,56033,1587939,4434018.166666667,
"2019-02-07 00:00:00",1220875,1375340,217445,36793,2671427,4477078.466666667,
"2019-02-08 00:00:00",1231803,740059,211073,57553,2273258,4457506.166666667,
"2019-02-09 00:00:00",1203592,502355,155421,43264,2092641,4405783.6,
"2019-02-10 00:00:00",1259334,1271239,182356,40142,2299803,4416121.866666666,
"2019-02-11 00:00:00",1278882,816384,260587,45822,2256603,4440739.666666667,
"2019-02-12 00:00:00",1522586,1351218,227341,62020,2024200,4471420.3,
"2019-02-13 00:00:00",1100212,902214,174710,31345,1932691,4469949.033333333,
"2019-02-14 00:00:00",1778555,1121713,188663,59525,2462810,4516278.633333334,
"2019-02-15 00:00:00",1108022,1520800,173566,45352,2303748,4525587.5,
"2019-02-16 00:00:00",1424621,807316,173270,45876,2628607,4554331.033333333,
"2019-02-17 00:00:00",1133511,1107850,217335,33537,1499676,4541796.266666667,
"2019-02-18 00:00:00",1117662,739286,275743,48092,1420150,4527881.633333334,
"2019-02-19 00:00:00",1358006,1095839,234539,38034,2535716,4566254.766666667,
"2019-02-20 00:00:00",1343099,812413,176631,43666,1608241,4543692.066666666,
"2019-02-21 00:00:00",1095511,866050,218277,46165,2201528,4546348.366666666,
"2019-02-22 00:00:00",857048,840954,158280,38805,2341266,4533328.3,
"2019-02-23 00:00:00",1445570,715006,145860,44352,2181534,4567237,
"2019-02-24 00:00:00",1016140,795141,171353,37042,2030019,4545471.166666667,
"2019-02-25 00:00:00",1389293,1158459,246124,53242,2127615,4541739.633333334,
"2019-02-26 00:00:00",1130525,1007780,182723,47215,2300997,4574628.266666667,
"2019-02-27 00:00:00",956690,1119370,250794,34148,1983691,4566989.7,
"2019-02-28 00:00:00",1433025,944700,163691,40525,1825422,4545211.933333334,
"2019-03-01 00:00:00",1169486,574654,167094,57256,2536317,4550256.866666666,
"2019-03-02 00:00:00",950584,448542,157395,32484,1778704,4500833.2,
"2019-03-03 00:00:00",1508429,768986,247336,47702,1606965,4460070.733333333,
"2019-03-04 00:00:00",1032596,1439316,211195,51959,2401587,4502157.866666666,
"2019-03-05 00:00:00",1009562,700498,179608,57006,2175990,4503119.833333333,
"2019-03-06 00:00:00",1320938,686828,193287,35929,1734057,4505129.433333334,
"2019-03-07 00:00:00",1101129,856318,200592,60528,2317169,4513400.933333334,
"2019-03-08 00:00:00",1402349,1031901,169811,45264,1662131,4517572.066666666,
"2019-03-09 00:00:00",780721,1050491,150727,53686,2025866,4468892.633333334,
"2019-03-10 00:00:00",748360,774518,153568,36679,1998916,4442168.433333334,
"2019-03-11 00:00:00",1513607,855326,229005,47136,2125371,4467941.633333334,
"2019-03-12 00:00:00",639759,992638,208527,42103,2309077,4439249.866666666,
"2019-03-13 00:00:00",1038569,950553,211893,42262,1882908,4421513.233333333,
"2019-03-14 00:00:00",1399017,1399602,236190,38089,2470259,4433372.733333333,
"2019-03-15 00:00:00",1244713,881098,136621,45034,2286567,4448468.6,
"2019-03-16 00:00:00",1034557,882067,139997,44710,1587793,4384396.633333334,
"2019-03-17 00:00:00",1467080,822178,143087,63126,2407559,4376114.533333333,
"2019-03-18 00:00:00",1073227,1049136,226257,51127,2703460,4376898.633333334,
"2019-03-19 00:00:00",1252773,940341,190404,47946,1956825,4390110.966666667,
"2019-03-20 00:00:00",1144105,1067640,281435,34661,1697361,4410919.7,
"2019-03-21 00:00:00",1365086,613033,216813,56419,2208710,4384183.633333334,
"2019-03-22 00:00:00",1196947,955780,215782,45050,2295755,4408359.066666666,
"2019-03-23 00:00:00",1095582,974994,172976,39134,2666622,4425751.466666667,
"2019-03-24 00:00:00",1355594,621564,167950,43846,2471406,4439884.6,
"2019-03-25 00:00:00",912607,773168,237151,50956,1648989,4409569.633333334,
"2019-03-26 00:00:00",1208391,1052019,197766,54814,1732014,4416080.5,
"2019-03-27 00:00:00",1486279,1222246,204949,47851,1818775,4409592.7,
"2019-03-28 00:00:00",1077545,1174054,248243,51067,2071395,4408027.9,
"2019-03-29 00:00:00",1253504,765944,139197,47370,2374283,4415881.266666667,
"2019-03-30 00:00:00",877569,919556,165984,45480,1865206,4398095.766666667,
"2019-03-31 00:00:00",1380314,708049,179407,28841,2241209,4399196.6,
"2019-04-01 00:00:00",964503,1040952,244345,58935,2676628,4453119.433333334,
"2019-04-02 00:00:00",1434062,1021310,200343,54429,2179198,4476783.8,
"2019-04-03 00:00:00",1349093,1002566,204862,31286,2455718,4473679.033333333,
"2019-04-04 00:00:00",1244065,701182,187265,27922,2231637,4482659.166666667,
"2019-04-05 00:00:00",1267181,1073554,193126,40444,1690291,4492444.466666667,
"2019-04-06 00:00:00",1136146,903194,143207,40985,2386646,4494926.1,
"2019-04-07 00:00:00",1148647,797694,205175,51402,1584512,4477458.5,
"2019-04-08 00:00:00",1289352,965832,272161,55009,2391020,4507854.8,
"2019-04-09 00:00:00",1169098,963696,195100,47286,1965546,4528811.466666667,
"2019-04-10 00:00:00",1163072,675842,196463,33081,2089233,4508385.666666667,
"2019-04-11 00:00:00",1608987,704944,172907,36397,1403229,4499530.7,
"2019-04-12 00:00:00",962723,1017134,163895,37322,2168059,4506962.2,
"2019-04-13 00:00:00",1076187,1050410,206232,25656,1569550,4453124.6,
"2019-04-14 00:00:00",1178275,868029,180676,55161,2152210,4447800.966666667,
"2019-04-15 00:00:00",1521881,751311,235308,60796,1578251,4463081.966666667,
"2019-04-16 00:00:00",1070143,963258,216626,45492,1456635,4424719.5,
"2019-04-17 00:00:00",1287103,440124,186360,28171,1990693,4385693.933333334,
"2019-04-18 00:00:00",1446463,741999,144167,39592,1346426,4363372.3,
"2019-04-19 00:00:00",1025841,571165,95159,25707,2193766,4352920.233333333,
"2019-04-20 00:00:00",1280474,731665,138702,29499,2788999,4369895.933333334,
"2019-04-21 00:00:00",1174979,841168,114118,25903,1688627,4341078.1,
"2019-04-22 00:00:00",1113693,812574,217398,44012,2202798,4322450.366666666,
"2019-04-23 00:00:00",1317456,742351,188719,43898,1602915,4296950,
"2019-04-24 00:00:00",1377211,828315,189929,43091,2081509,4326856,
"2019-04-25 00:00:00",1170008,1005686,171292,35452,2265571,4340289.266666667,
"2019-04-26 00:00:00",1440636,875349,157090,26514,2777168,4356843.966666667,
"2019-04-27 00:00:00",1250514,727368,126654,32302,1580954,4326692.933333334,
"2019-04-28 00:00:00",1237516,872106,159816,44984,2055169,4319669.166666667,
"2019-04-29 00:00:00",1330416,729591,222233,47399,1426657,4315752.766666667,
"2019-04-30 00:00:00",587546,282535,66100,16165,710552,4219920.333333333,
"2019-05-01 00:00:00",1416134,1079797,294358,59432,2979848,4248059.933333334,
"2019-05-02 00:00:00",822547,835125,191699,41065,2117614,4218683.633333334,
"2019-05-03 00:00:00",1767315,1353085,160482,27383,2178249,4233449.833333333,
"2019-05-04 00:00:00",762215,902535,143012,31181,2173057,4220780.4,
"2019-05-05 00:00:00",1328970,1016580,211066,41312,1929121,4229528.433333334,
"2019-05-06 00:00:00",1670010,840711,212647,69202,1028622,4203229.066666666,
"2019-05-07 00:00:00",1300307,771575,213307,37715,2990107,4254081.8,
"2019-05-08 00:00:00",1514157,1156902,154389,32437,2131866,4254627.566666666,
"2019-05-09 00:00:00",1100396,923601,251695,44834,2354028,4265754.9,
"2019-05-10 00:00:00",1371147,814356,177107,30079,1909381,4270567.466666667,
"2019-05-11 00:00:00",818978,751760,163744,36698,1378321,4244668.566666666,
"2019-05-12 00:00:00",846894,605604,187225,49188,1305642,4199515.4,
"2019-05-13 00:00:00",1389611,660465,195271,57238,1793154,4205105.8,
"2019-05-14 00:00:00",1272791,1242400,178619,42696,2595072,4235013.8,
"2019-05-15 00:00:00",983287,1122294,166264,26514,1803622,4233495.3,
"2019-05-16 00:00:00",1035722,1115564,169151,60302,2368663,4266737.066666666,
"2019-05-17 00:00:00",1380384,672816,227663,27325,1801758,4272653.233333333,
"2019-05-18 00:00:00",826891,817225,135537,48850,1880409,4272329.066666666,
"2019-05-19 00:00:00",1409562,859453,185940,33772,1899399,4288211.933333334,
"2019-05-20 00:00:00",1204753,1290169,276117,69338,2704910,4307411.6,
"2019-05-21 00:00:00",1271616,1269677,227616,55735,2267328,4348985,
"2019-05-22 00:00:00",1159361,932217,188366,28437,1958310,4344858.733333333,
"2019-05-23 00:00:00",963212,887109,161988,37738,1871264,4345724.8,
"2019-05-24 00:00:00",1354098,729993,130101,25577,1991791,4336108.266666667,
"2019-05-25 00:00:00",1014422,935080,209427,33318,1570128,4306586.866666666,
"2019-05-26 00:00:00",853982,994788,175674,44445,2067493,4268574.433333334,
"2019-05-27 00:00:00",1695621,1010878,183637,78800,2185997,4316480.4,
"2019-05-28 00:00:00",1186622,563025,210164,39301,2411083,4317833.9,
"2019-05-29 00:00:00",973155,1011578,167283,30986,2177705,4337980.533333333,
"2019-05-30 00:00:00",1363069,745538,155804,42534,1921413,4423496.9,
"2019-05-31 00:00:00",1112973,764338,183644,42419,2692492,4389040.133333334,
"2019-06-01 00:00:00",1016505,848835,217431,44594,2231758,4400742.3,
"2019-06-02 00:00:00",1004770,1188246,162496,43713,1501470,4347882.1,
"2019-06-03 00:00:00",2021761,707713,320273,62252,2098252,4387824.5,
"2019-06-04 00:00:00",1279579,686925,227615,44207,2455321,4393378.266666667,
"2019-06-05 00:00:00",1256680,762952,173633,23847,2049623,4408229.466666667,
"2019-06-06 00:00:00",1086686,994860,173654,39679,2180779,4380317.7,
"2019-06-07 00:00:00",1064371,868493,183045,35683,2656811,4374272.6,
"2019-06-08 00:00:00",838316,772201,146794,24985,2049590,4346183.566666666,
"2019-06-09 00:00:00",934568,786172,185679,41746,1514079,4318189.033333333,
"2019-06-10 00:00:00",1320870,1038338,220885,63985,2335862,4379203.866666666,
"2019-06-11 00:00:00",1481274,794371,199088,47865,2270140,4439143.866666666,
"2019-06-12 00:00:00",1428824,772699,229821,40995,2703404,4475143.733333333,
"2019-06-13 00:00:00",1528533,1492213,197191,36790,1383322,4452025.966666667,
"2019-06-14 00:00:00",1285882,1161105,170382,33597,2236967,4478224.233333333,
"2019-06-15 00:00:00",688503,781910,197710,28465,2019947,4443794.933333334,
"2019-06-16 00:00:00",1076145,708688,191409,45135,1524121,4424980.433333334,
"2019-06-17 00:00:00",1666833,873154,229141,60226,2344971,4473827.933333334,
"2019-06-18 00:00:00",1245847,1215296,201527,53786,2589143,4504410.833333333,
"2019-06-19 00:00:00",1372288,972299,194135,40094,1852866,4467289.9,
"2019-06-20 00:00:00",1157008,647185,209962,38281,1652610,4421058.4,
"2019-06-21 00:00:00",1000903,702970,189405,26504,1752111,4401231.3,
"2019-06-22 00:00:00",1020706,1166406,104508,45008,1973424,4414188.466666667,
"2019-06-23 00:00:00",1411603,526767,184217,33159,1798624,4404948.633333334,
"2019-06-24 00:00:00",1319660,851878,249037,61971,1805738,4422479.466666667,
