"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","30-day Moving Average","Prior Year: 30-day Moving Average"
"2019-01-01 00:00:00",902601,263267,86519,23253,486035,,
"2019-01-02 00:00:00",769717,317900,99784,16607,570206,,
"2019-01-03 00:00:00",1268009,231387,161471,55283,741863,,
"2019-01-04 00:00:00",1255686,251272,149068,54940,916384,,
"2019-01-05 00:00:00",1136650,267964,160395,37632,939329,,
"2019-01-06 00:00:00",1236736,172603,168498,41207,699461,,
"2019-01-07 00:00:00",1550304,248963,138768,63953,1090877,,
"2019-01-08 00:00:00",830638,449422,160990,47602,679931,,
"2019-01-09 00:00:00",1103199,352120,190912,42853,1183315,,
"2019-01-10 00:00:00",1872648,297854,217957,61354,703552,,
"2019-01-11 00:00:00",1313422,320412,189875,57204,802606,,
"2019-01-12 00:00:00",1928898,250154,147341,49920,923261,,
"2019-01-13 00:00:00",1032617,249771,124123,31525,710414,,
"2019-01-14 00:00:00",1385289,272615,164994,56272,970021,,
"2019-01-15 00:00:00",1406088,608897,184688,65099,778440,,
"2019-01-16 00:00:00",1663758,170833,230944,53446,1001932,,
"2019-01-17 00:00:00",1074512,141725,184690,52312,1132715,,
"2019-01-18 00:00:00",1974830,294316,160864,61833,770378,,
"2019-01-19 00:00:00",1755795,370495,189878,40886,778249,,
"2019-01-20 00:00:00",1171338,346733,153423,50685,954175,,
"2019-01-21 00:00:00",1456916,300897,150804,61227,914126,,
"2019-01-22 00:00:00",1189133,356661,234647,51406,969092,,
"2019-01-23 00:00:00",1343480,380018,206136,38629,1131709,,
"2019-01-24 00:00:00",1642528,356757,214994,63148,1233267,,
"2019-01-25 00:00:00",1305089,516765,192374,70159,758669,,
"2019-01-26 00:00:00",1609812,214947,176752,51124,1077337,,
"2019-01-27 00:00:00",1315271,205427,203774,32130,629786,,
"2019-01-28 00:00:00",1586924,269458,141057,50030,1067008,,
"2019-01-29 00:00:00",1629201,260581,157934,61207,968122,,
