"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","30-day Moving Average","Prior Year: 30-day Moving Average"
"2019-01-01 00:00:00",759719,716905,42492,13110,458437,,
"2019-01-02 00:00:00",944295,829241,38410,17802,439339,,
"2019-01-03 00:00:00",755264,448616,53171,2997,321925,,
"2019-01-04 00:00:00",904530,233220,34168,10897,495167,,
"2019-01-05 00:00:00",1006827,568272,44386,15888,459802,,
"2019-01-06 00:00:00",659314,1037493,39171,15036,795041,,
"2019-01-07 00:00:00",964259,926309,41019,6033,573152,,
"2019-01-08 00:00:00",575555,868175,43217,15336,746077,,
"2019-01-09 00:00:00",1046271,518755,54508,7152,309767,,
"2019-01-10 00:00:00",635787,966058,60782,25508,375198,,
"2019-01-11 00:00:00",488857,664841,57910,2989,356267,,
"2019-01-12 00:00:00",669406,1618039,51722,8314,480970,,
"2019-01-13 00:00:00",687701,512476,51246,5776,290162,,
"2019-01-14 00:00:00",547196,1211402,40068,8495,881148,,
"2019-01-15 00:00:00",744672,893135,73331,16348,382956,,
"2019-01-16 00:00:00",1119052,440843,35108,7941,370673,,
"2019-01-17 00:00:00",627318,459765,55744,8601,322382,,
"2019-01-18 00:00:00",740312,980763,50709,6604,416563,,
"2019-01-19 00:00:00",737515,830063,50000,13868,660724,,
"2019-01-20 00:00:00",555016,864379,42504,9600,603124,,
"2019-01-21 00:00:00",958794,1029045,98153,21424,621433,,
"2019-01-22 00:00:00",748508,863328,53560,13145,466212,,
"2019-01-23 00:00:00",1057677,829529,55493,8730,477710,,
"2019-01-24 00:00:00",699664,1302785,74500,4529,183706,,
"2019-01-25 00:00:00",1035089,1007703,73266,8948,318569,,
"2019-01-26 00:00:00",516251,733844,22608,6647,350392,,
"2019-01-27 00:00:00",404537,454131,61163,7538,340671,,
"2019-01-28 00:00:00",709496,768020,64331,7197,518585,,
"2019-01-29 00:00:00",952401,1181932,71139,11392,425126,,
"2019-01-30 00:00:00",1184939,737082,82734,14372,682692,2133189.4,
"2019-01-31 00:00:00",887388,800695,52111,5736,223485,2132481.066666667,
"2019-02-01 00:00:00",512544,676176,47519,8594,488062,2114608.1666666665,
"2019-02-02 00:00:00",707791,693759,41575,4968,352536,2121896.6666666665,
"2019-02-03 00:00:00",453606,690597,50228,8848,293671,2115862.2333333334,
"2019-02-04 00:00:00",787562,991140,85319,11891,678827,2131181.3,
"2019-02-05 00:00:00",659336,833433,72451,10701,746564,2123729.3333333335,
"2019-02-06 00:00:00",712223,678173,44267,9972,700398,2111538.1666666665,
"2019-02-07 00:00:00",588188,556577,103456,20913,391066,2091932.9666666666,
"2019-02-08 00:00:00",718988,631316,45003,16965,316915,2085024.0333333334,
"2019-02-09 00:00:00",1085656,982709,61831,10280,336794,2098821.9,
"2019-02-10 00:00:00",653583,878028,49771,11115,325578,2110395.6,
"2019-02-11 00:00:00",1260233,1309344,68585,14594,449435,2119520.3333333335,
"2019-02-12 00:00:00",350212,955278,55272,8490,386928,2126481,
"2019-02-13 00:00:00",917177,691940,56900,5181,651376,2114289.933333333,
"2019-02-14 00:00:00",1172818,936016,49166,10510,610166,2136564.4,
"2019-02-15 00:00:00",537139,394108,64192,7181,315008,2114697.933333333,
"2019-02-16 00:00:00",562173,991615,83856,11367,470678,2136227.3,
"2019-02-17 00:00:00",698040,554440,29766,15187,378547,2118928.3666666667,
"2019-02-18 00:00:00",806595,1062263,75186,11931,246813,2115948.9,
"2019-02-19 00:00:00",636149,689146,69666,4012,507795,2110353.7666666666,
"2019-02-20 00:00:00",637385,1157521,92709,23592,1055241,2118273.8333333335,
"2019-02-21 00:00:00",397770,928474,56241,11276,452348,2108318.933333333,
"2019-02-22 00:00:00",564133,1340737,41807,11569,313269,2103064.6,
"2019-02-23 00:00:00",832661,762442,76026,8592,707522,2107133.2333333334,
"2019-02-24 00:00:00",756681,914482,35896,6253,355467,2094639.9666666666,
"2019-02-25 00:00:00",607314,991740,70206,9114,541861,2114323.466666667,
"2019-02-26 00:00:00",710213,870240,43273,17110,367770,2139009.3,
"2019-02-27 00:00:00",1110635,725469,51733,13779,417272,2147384.433333333,
"2019-02-28 00:00:00",522913,736660,49085,7208,265837,2112041.566666667,
"2019-03-01 00:00:00",386939,738461,56898,10851,782543,2087837.2,
"2019-03-02 00:00:00",389887,1196466,40283,6462,252861,2085055.3,
"2019-03-03 00:00:00",518050,830366,102126,12834,355902,2087934.7,
"2019-03-04 00:00:00",721591,889537,85374,5567,877455,2113898.1666666665,
"2019-03-05 00:00:00",376306,1119464,76634,6427,739268,2141269.8666666667,
"2019-03-06 00:00:00",966117,989601,85205,12966,565887,2143437.966666667,
"2019-03-07 00:00:00",679877,771100,72834,13355,377426,2129841.466666667,
"2019-03-08 00:00:00",652268,896847,66503,4705,583003,2131784.3333333335,
"2019-03-09 00:00:00",628502,667808,77232,10461,284745,2132069.3666666667,
"2019-03-10 00:00:00",716939,861597,61296,9468,259586,2138059.3,
"2019-03-11 00:00:00",647730,1030107,61497,6468,421475,2127726.066666667,
"2019-03-12 00:00:00",628677,1010521,64916,8810,460472,2136236.933333333,
"2019-03-13 00:00:00",499545,1169916,36474,9414,630580,2111028.066666667,
"2019-03-14 00:00:00",396651,644966,51065,12867,322601,2100093.2333333334,
"2019-03-15 00:00:00",371803,778876,42963,6321,355023,2074506.9333333333,
"2019-03-16 00:00:00",1079991,1000976,79418,10325,721948,2078306.2333333334,
"2019-03-17 00:00:00",590485,568234,64029,7793,843377,2103516,
"2019-03-18 00:00:00",847177,1643382,136149,15736,534513,2138758.5,
"2019-03-19 00:00:00",1034617,795688,80370,7185,894154,2176626.3,
