"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","30-day Moving Average","Prior Year: 30-day Moving Average"
"2019-01-01 00:00:00",521201,689665,26654,1625,1413825,,
"2019-01-02 00:00:00",745160,438160,50058,2761,1580352,,
"2019-01-03 00:00:00",352014,429806,32208,345,1296939,,
"2019-01-04 00:00:00",677595,208776,10738,2420,1770105,,
"2019-01-05 00:00:00",683888,332348,27504,4428,2379729,,
"2019-01-06 00:00:00",722973,529783,36945,717,999167,,
"2019-01-07 00:00:00",737770,530303,47327,1583,1947523,,
"2019-01-08 00:00:00",431392,329625,25852,4140,1453729,,
"2019-01-09 00:00:00",662879,335787,21712,1015,1028857,,
"2019-01-10 00:00:00",279994,625817,26613,3613,1119542,,
"2019-01-11 00:00:00",274993,285284,25738,825,1073794,,
"2019-01-12 00:00:00",782784,516242,46378,4507,1363542,,
"2019-01-13 00:00:00",615526,253057,30877,2631,1959003,,
"2019-01-14 00:00:00",622543,596479,34168,907,1671385,,
"2019-01-15 00:00:00",419932,408229,18224,2214,1941849,,
"2019-01-16 00:00:00",830360,715571,67764,4531,991118,,
"2019-01-17 00:00:00",908793,498755,18468,1558,731960,,
"2019-01-18 00:00:00",670119,611535,35492,78,1253051,,
"2019-01-19 00:00:00",546713,251610,49434,1934,1402873,,
"2019-01-20 00:00:00",957009,346409,23568,2030,383326,,
"2019-01-21 00:00:00",464433,612461,44568,3400,2536914,,
"2019-01-22 00:00:00",481188,355419,32013,2745,2821033,,
"2019-01-23 00:00:00",734622,468726,57649,1268,2656397,,
"2019-01-24 00:00:00",607345,495777,46257,2457,1607311,,
"2019-01-25 00:00:00",615123,723681,25403,1385,2034686,,
"2019-01-26 00:00:00",430011,230347,31969,16061,1881660,,
"2019-01-27 00:00:00",400514,549991,47530,6268,2100689,,
"2019-01-28 00:00:00",860074,383641,46199,3450,978062,,
"2019-01-29 00:00:00",534162,454765,31107,3979,2400230,,
"2019-01-30 00:00:00",548789,532478,39024,1214,1204017,2699565.8333333335,
"2019-01-31 00:00:00",696762,470004,33820,2062,2561031,2736589.533333333,
"2019-02-01 00:00:00",576828,560313,64661,963,1698628,2739419.4,
"2019-02-02 00:00:00",613197,171393,45401,1125,1757238,2755320.9,
"2019-02-03 00:00:00",458123,405845,45664,4381,753696,2721923.7,
"2019-02-04 00:00:00",369011,579912,33058,3656,2079435,2709829.566666667,
"2019-02-05 00:00:00",496055,515046,31051,4554,1884442,2731215.066666667,
"2019-02-06 00:00:00",628951,606325,24190,2047,2352814,2742875.933333333,
"2019-02-07 00:00:00",337628,411325,31826,2581,2049973,2762495.7666666666,
"2019-02-08 00:00:00",469839,377723,35548,2260,1764192,2782472.7666666666,
"2019-02-09 00:00:00",410483,522936,53487,2348,1682671,2803017.7,
"2019-02-10 00:00:00",760231,511551,40977,2843,752279,2816592.8333333335,
"2019-02-11 00:00:00",288832,589148,48198,1840,1798061,2817013.8666666667,
"2019-02-12 00:00:00",306531,394873,53843,3118,1449221,2795230.2333333334,
"2019-02-13 00:00:00",461551,547269,38353,478,2194913,2805799.7666666666,
"2019-02-14 00:00:00",458626,482993,61063,2745,2317081,2823535.2,
"2019-02-15 00:00:00",587832,524728,29546,3622,1975611,2840601.6,
