"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","30-day Moving Average","Prior Year: 30-day Moving Average"
"2019-01-01 00:00:00",82,42,36,16,66,,
"2019-01-02 00:00:00",74,39,39,15,61,,
"2019-01-03 00:00:00",70,33,39,8,51,,
"2019-01-04 00:00:00",62,17,27,15,60,,
"2019-01-05 00:00:00",72,31,34,19,74,,
"2019-01-06 00:00:00",64,41,37,11,55,,
"2019-01-07 00:00:00",62,42,32,14,69,,
"2019-01-08 00:00:00",62,33,33,20,63,,
"2019-01-09 00:00:00",66,32,39,13,57,,
"2019-01-10 00:00:00",59,45,42,22,63,,
"2019-01-11 00:00:00",56,31,40,6,62,,
"2019-01-12 00:00:00",60,47,36,13,64,,
"2019-01-13 00:00:00",56,25,48,9,48,,
"2019-01-14 00:00:00",60,52,40,16,76,,
"2019-01-15 00:00:00",59,42,41,15,49,,
"2019-01-16 00:00:00",68,36,45,19,56,,
"2019-01-17 00:00:00",62,34,28,15,48,,
"2019-01-18 00:00:00",67,40,31,8,57,,
"2019-01-19 00:00:00",59,35,45,17,72,,
"2019-01-20 00:00:00",74,41,33,11,56,,
"2019-01-21 00:00:00",78,39,56,23,84,,
"2019-01-22 00:00:00",63,42,45,18,73,,
"2019-01-23 00:00:00",71,36,52,18,78,,
"2019-01-24 00:00:00",69,48,40,14,47,,
"2019-01-25 00:00:00",73,57,40,11,82,,
"2019-01-26 00:00:00",61,29,36,13,63,,
"2019-01-27 00:00:00",59,32,46,14,65,,
"2019-01-28 00:00:00",59,33,43,12,73,,
"2019-01-29 00:00:00",65,46,52,19,65,,
"2019-01-30 00:00:00",63,46,49,11,67,221.46666666666667,
"2019-01-31 00:00:00",70,40,45,10,72,221.3,
"2019-02-01 00:00:00",54,38,47,13,65,220.93333333333334,
"2019-02-02 00:00:00",59,21,38,12,49,220.2,
"2019-02-03 00:00:00",63,37,44,17,43,220.96666666666667,
"2019-02-04 00:00:00",58,62,56,18,74,222.23333333333332,
"2019-02-05 00:00:00",63,43,43,13,64,222.83333333333334,
"2019-02-06 00:00:00",59,42,34,16,73,223,
"2019-02-07 00:00:00",61,34,43,19,66,223.4,
"2019-02-08 00:00:00",69,35,42,15,68,224.13333333333333,
"2019-02-09 00:00:00",63,47,52,13,71,224.63333333333333,
"2019-02-10 00:00:00",66,33,39,18,57,225.23333333333332,
"2019-02-11 00:00:00",66,49,53,18,69,226.4,
"2019-02-12 00:00:00",50,45,45,16,62,227.46666666666667,
"2019-02-13 00:00:00",71,44,50,13,67,227.5,
"2019-02-14 00:00:00",72,47,41,18,63,228.66666666666666,
"2019-02-15 00:00:00",54,29,40,14,55,227.6,
"2019-02-16 00:00:00",68,42,63,19,71,230.13333333333333,
"2019-02-17 00:00:00",62,30,30,16,48,229.56666666666666,
"2019-02-18 00:00:00",59,42,51,18,57,229.53333333333333,
"2019-02-19 00:00:00",59,37,46,14,60,229.56666666666666,
"2019-02-20 00:00:00",68,59,66,19,65,229.46666666666667,
"2019-02-21 00:00:00",54,51,44,22,70,229.46666666666667,
"2019-02-22 00:00:00",70,51,43,15,69,229.23333333333332,
"2019-02-23 00:00:00",74,49,61,14,75,231.06666666666666,
"2019-02-24 00:00:00",77,33,34,16,63,229.73333333333332,
"2019-02-25 00:00:00",60,39,64,14,70,231.23333333333332,
"2019-02-26 00:00:00",66,37,39,16,80,231.96666666666667,
"2019-02-27 00:00:00",67,38,32,19,65,232,
"2019-02-28 00:00:00",43,39,40,15,57,230.23333333333332,
"2019-03-01 00:00:00",60,24,37,15,66,229.1,
"2019-03-02 00:00:00",66,53,42,22,67,229.53333333333333,
"2019-03-03 00:00:00",55,37,64,16,71,230.4,
"2019-03-04 00:00:00",66,46,65,10,72,233.06666666666666,
"2019-03-05 00:00:00",72,42,54,19,94,235.63333333333333,
"2019-03-06 00:00:00",64,54,55,20,77,235.7,
"2019-03-07 00:00:00",54,34,41,20,67,235.36666666666667,
"2019-03-08 00:00:00",63,48,51,12,68,235.96666666666667,
"2019-03-09 00:00:00",67,38,58,16,54,236.3,
"2019-03-10 00:00:00",57,37,42,9,60,235.5,
"2019-03-11 00:00:00",74,50,51,12,76,236.06666666666666,
"2019-03-12 00:00:00",69,42,50,12,78,237.33333333333334,
"2019-03-13 00:00:00",71,47,38,20,74,237.16666666666666,
"2019-03-14 00:00:00",50,38,43,14,57,236.63333333333333,
"2019-03-15 00:00:00",61,38,42,14,63,235.73333333333332,
"2019-03-16 00:00:00",60,39,45,15,69,235.3,
"2019-03-17 00:00:00",74,36,37,13,56,236.1,
"2019-03-18 00:00:00",66,56,69,17,76,236.8,
"2019-03-19 00:00:00",69,32,52,14,66,238.36666666666667,
"2019-03-20 00:00:00",61,44,38,11,68,238.2,
"2019-03-21 00:00:00",70,24,38,18,68,238.26666666666668,
"2019-03-22 00:00:00",53,41,43,13,59,236,
"2019-03-23 00:00:00",60,32,52,16,65,235.46666666666667,
"2019-03-24 00:00:00",61,42,35,10,39,233.43333333333334,
"2019-03-25 00:00:00",72,40,46,20,55,232.1,
"2019-03-26 00:00:00",70,54,46,7,87,233.46666666666667,
"2019-03-27 00:00:00",64,34,53,13,55,232.53333333333333,
"2019-03-28 00:00:00",65,48,46,14,68,232.63333333333333,
"2019-03-29 00:00:00",69,46,46,16,68,233.43333333333334,
"2019-03-30 00:00:00",56,38,43,17,47,233.66666666666666,
"2019-03-31 00:00:00",54,33,46,14,48,233.43333333333334,
"2019-04-01 00:00:00",62,52,65,14,63,233.63333333333333,
"2019-04-02 00:00:00",77,56,49,10,78,234.53333333333333,
"2019-04-03 00:00:00",58,36,52,18,74,233.83333333333334,
"2019-04-04 00:00:00",71,47,54,17,77,233.33333333333334,
"2019-04-05 00:00:00",59,40,30,19,65,231.43333333333334,
"2019-04-06 00:00:00",62,35,42,11,73,231.66666666666666,
"2019-04-07 00:00:00",72,45,39,13,63,231.33333333333334,
"2019-04-08 00:00:00",68,57,68,19,74,233.1,
"2019-04-09 00:00:00",66,31,41,15,75,233.86666666666667,
"2019-04-10 00:00:00",57,43,46,18,69,232.86666666666667,
"2019-04-11 00:00:00",61,47,47,15,69,232.46666666666667,
"2019-04-12 00:00:00",59,38,49,14,72,231.86666666666667,
"2019-04-13 00:00:00",66,46,45,15,66,233.06666666666666,
"2019-04-14 00:00:00",78,41,46,16,61,233.86666666666667,
"2019-04-15 00:00:00",69,50,61,11,82,235.36666666666667,
"2019-04-16 00:00:00",66,47,54,26,77,237.16666666666666,
"2019-04-17 00:00:00",86,23,55,19,105,237.3,
"2019-04-18 00:00:00",63,43,54,16,80,238.06666666666666,
"2019-04-19 00:00:00",67,42,41,14,65,238.3,
"2019-04-20 00:00:00",65,29,37,18,62,238.06666666666666,
"2019-04-21 00:00:00",57,53,38,12,61,238.46666666666667,
"2019-04-22 00:00:00",74,39,63,14,77,239.86666666666667,
"2019-04-23 00:00:00",73,49,52,11,60,241.8,
"2019-04-24 00:00:00",58,39,59,10,81,242.26666666666668,
"2019-04-25 00:00:00",72,32,59,16,78,242.03333333333333,
"2019-04-26 00:00:00",58,40,57,18,81,243.2,
"2019-04-27 00:00:00",84,50,45,19,79,244.4,
"2019-04-28 00:00:00",73,44,50,10,91,245.16666666666666,
"2019-04-29 00:00:00",72,44,59,18,87,247.8,
"2019-04-30 00:00:00",54,32,40,3,70,247.93333333333334,
"2019-05-01 00:00:00",73,43,64,18,76,248.53333333333333,
"2019-05-02 00:00:00",76,48,59,16,73,248.6,
"2019-05-03 00:00:00",62,35,44,11,68,248,
"2019-05-04 00:00:00",70,41,43,17,83,247.6,
"2019-05-05 00:00:00",72,39,48,16,86,249.2,
"2019-05-06 00:00:00",64,35,60,19,67,249.93333333333334,
"2019-05-07 00:00:00",75,39,48,14,75,250.56666666666666,
"2019-05-08 00:00:00",86,43,47,14,67,249.6,
"2019-05-09 00:00:00",61,35,40,6,80,249.4,
"2019-05-10 00:00:00",62,40,42,18,72,249.43333333333334,
"2019-05-11 00:00:00",74,31,46,22,89,250.2,
"2019-05-12 00:00:00",70,38,39,13,57,249.7,
"2019-05-13 00:00:00",81,39,51,12,86,250.73333333333332,
"2019-05-14 00:00:00",64,43,46,12,64,250.3,
"2019-05-15 00:00:00",77,41,49,16,75,249.8,
"2019-05-16 00:00:00",77,36,44,20,79,249.33333333333334,
"2019-05-17 00:00:00",70,27,42,17,70,247.26666666666668,
"2019-05-18 00:00:00",75,34,42,11,69,246.43333333333334,
"2019-05-19 00:00:00",68,35,40,16,64,246.23333333333332,
"2019-05-20 00:00:00",74,52,58,16,86,248.73333333333332,
"2019-05-21 00:00:00",83,43,43,16,68,249.8,
"2019-05-22 00:00:00",75,44,48,20,94,250.26666666666668,
"2019-05-23 00:00:00",80,44,55,20,87,251.63333333333333,
"2019-05-24 00:00:00",63,40,49,25,74,251.76666666666668,
"2019-05-25 00:00:00",79,39,45,16,83,251.93333333333334,
"2019-05-26 00:00:00",75,39,32,17,75,251.4,
"2019-05-27 00:00:00",77,47,48,22,80,251.3,
"2019-05-28 00:00:00",65,43,56,13,86,251.13333333333333,
"2019-05-29 00:00:00",69,31,57,18,75,250.13333333333333,
"2019-05-30 00:00:00",74,44,34,11,82,251.66666666666666,
"2019-05-31 00:00:00",70,31,41,11,75,250.13333333333333,
"2019-06-01 00:00:00",81,33,50,7,79,249.4,
"2019-06-02 00:00:00",77,46,48,18,84,251.16666666666666,
"2019-06-03 00:00:00",90,33,73,12,108,253.23333333333332,
"2019-06-04 00:00:00",57,34,40,17,80,252.13333333333333,
"2019-06-05 00:00:00",52,29,32,12,65,250.3,
"2019-06-06 00:00:00",74,37,37,17,84,250.23333333333332,
"2019-06-07 00:00:00",72,41,49,17,75,250.13333333333333,
"2019-06-08 00:00:00",58,37,35,12,74,249.93333333333334,
"2019-06-09 00:00:00",79,41,45,19,83,251.03333333333333,
