"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","30-day Moving Average","Prior Year: 30-day Moving Average"
"2019-01-01 00:00:00",9301692,11612355,666195,103470,8262762,,
"2019-01-02 00:00:00",10637801,12875882,771077,121316,8057730,,
"2019-01-03 00:00:00",10699044,12679019,918763,124376,10573172,,
"2019-01-04 00:00:00",11553877,12610840,732565,114042,9242561,,
"2019-01-05 00:00:00",11091803,13218109,872862,96872,11604034,,
"2019-01-06 00:00:00",9692480,11138739,785228,113483,9493365,,
"2019-01-07 00:00:00",11812982,15760437,1058423,116471,9602691,,
"2019-01-08 00:00:00",8792569,13954978,825452,105223,9492666,,
"2019-01-09 00:00:00",10278385,12969342,924894,127062,9681987,,
"2019-01-10 00:00:00",10458367,15144019,800785,131124,10054040,,
"2019-01-11 00:00:00",9190791,13729107,867174,112686,8855448,,
"2019-01-12 00:00:00",7615391,13531114,770766,115181,7986591,,
"2019-01-13 00:00:00",9705610,13120254,834899,101941,6458225,,
"2019-01-14 00:00:00",9059924,13647689,1052535,149707,10854292,,
"2019-01-15 00:00:00",9431262,11291736,873870,164269,8836937,,
"2019-01-16 00:00:00",11043244,13018502,955095,120847,9652771,,
"2019-01-17 00:00:00",10239181,12747115,821731,130566,7775061,,
"2019-01-18 00:00:00",9051799,14343550,790881,133030,11889383,,
"2019-01-19 00:00:00",8961139,9985849,811435,123790,10344743,,
"2019-01-20 00:00:00",9068548,12898269,859227,125231,7985192,,
"2019-01-21 00:00:00",9686486,14288948,1050922,169328,8965993,,
"2019-01-22 00:00:00",8816958,13245704,880529,150855,9334969,,
"2019-01-23 00:00:00",9452579,13065764,886155,157702,8978014,,
"2019-01-24 00:00:00",9914125,12431157,822542,105413,7266925,,
"2019-01-25 00:00:00",10795445,13098806,837095,136255,9710870,,
"2019-01-26 00:00:00",8967460,11920542,829477,94566,9453107,,
"2019-01-27 00:00:00",7771647,10313141,761590,105953,9022566,,
"2019-01-28 00:00:00",8824044,12046952,999275,145181,11403719,,
"2019-01-29 00:00:00",8695595,12489379,810154,156016,9956406,,
"2019-01-30 00:00:00",9372713,14022327,960999,153060,9076116,32890016.166666668,
"2019-01-31 00:00:00",9171136,11958211,875180,116668,10008285,32962786.133333333,
"2019-02-01 00:00:00",7450877,13162127,861744,134340,10341203,32945670.666666668,
