"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","30-day Moving Average","Prior Year: 30-day Moving Average"
"2019-01-01 00:00:00",7092752,10103609,553143,52574,6964024,,
"2019-01-02 00:00:00",8153514,11031829,638168,65277,7211345,,
"2019-01-03 00:00:00",7587169,12308090,737687,109168,7217530,,
"2019-01-04 00:00:00",8037854,10411345,631754,106904,6555769,,
"2019-01-05 00:00:00",9456708,12609512,777463,112095,8445633,,
"2019-01-06 00:00:00",7582478,9610678,708782,97810,7115196,,
"2019-01-07 00:00:00",9758580,12900981,821152,156509,8909385,,
"2019-01-08 00:00:00",9145736,10656151,814031,101080,7569035,,
"2019-01-09 00:00:00",8685754,11784051,908804,99839,7930263,,
"2019-01-10 00:00:00",9013755,11451134,829540,127659,7255029,,
"2019-01-11 00:00:00",10215266,14040570,881884,128729,7044866,,
"2019-01-12 00:00:00",10493693,9964209,678195,117657,8205170,,
"2019-01-13 00:00:00",9283522,11433831,787298,99723,7596365,,
"2019-01-14 00:00:00",8949113,12342551,910340,145709,8160827,,
"2019-01-15 00:00:00",8202337,11705749,827426,142082,6877534,,
"2019-01-16 00:00:00",10908709,11405098,920977,121803,8261150,,
"2019-01-17 00:00:00",8644544,12260726,833535,118076,8270550,,
"2019-01-18 00:00:00",10452316,13112895,892351,152638,6763305,,
"2019-01-19 00:00:00",10438521,11613192,857276,95087,7686186,,
"2019-01-20 00:00:00",9070031,12804865,789323,117707,6517578,,
"2019-01-21 00:00:00",9676467,11982640,815464,139588,9036184,,
"2019-01-22 00:00:00",9885457,12171958,914288,153248,9315946,,
"2019-01-23 00:00:00",9970496,10677811,786092,147939,9050081,,
"2019-01-24 00:00:00",9800341,11480492,843082,122368,8500148,,
"2019-01-25 00:00:00",9784491,12490354,837826,143969,8450666,,
"2019-01-26 00:00:00",8817645,11411847,809612,130503,7931500,,
"2019-01-27 00:00:00",8052573,12596587,800009,131087,7544097,,
"2019-01-28 00:00:00",11559463,12219137,847948,143308,8064597,,
"2019-01-29 00:00:00",10360932,14015174,828376,148346,8167238,,
"2019-01-30 00:00:00",10931896,11488777,837652,185193,7989602,29884829.666666668,
"2019-01-31 00:00:00",9207310,12694430,826633,158055,9000768,30122202.366666667,
"2019-02-01 00:00:00",9462979,12148807,721742,122676,7621368,30221451.733333334,
"2019-02-02 00:00:00",9949224,10148422,812204,101856,7645260,30244695.1,
"2019-02-03 00:00:00",7565730,12085040,622091,116143,6053784,30268000.466666665,
"2019-02-04 00:00:00",8279374,10067475,804647,137272,7848827,30125874.1,
"2019-02-05 00:00:00",7634656,10064560,736252,134764,7179840,30147046.433333334,
"2019-02-06 00:00:00",8575168,11824201,704256,140566,8108944,30040596.833333332,
"2019-02-07 00:00:00",7095322,9709519,760262,144710,8426455,29968938.3,
"2019-02-08 00:00:00",7436898,12633305,710269,135268,8832247,29980247.733333334,
"2019-02-09 00:00:00",7130152,12287721,722455,88733,8091766,29968370.833333332,
"2019-02-10 00:00:00",7271209,12373946,709143,104614,7283712,29816079.633333333,
"2019-02-11 00:00:00",7181123,11129407,787655,203040,7393615,29723944.833333332,
"2019-02-12 00:00:00",6979387,11081053,831112,125445,7427763,29632079.966666665,
"2019-02-13 00:00:00",6445563,12672115,928388,145487,9598334,29608125.466666665,
"2019-02-14 00:00:00",6660776,12484082,922694,152049,9742823,29681702.666666668,
"2019-02-15 00:00:00",7263803,11453310,847657,182459,7223980,29526818.033333335,
"2019-02-16 00:00:00",8073321,12540403,841874,129436,8295980,29518603.633333333,
"2019-02-17 00:00:00",6835645,11060933,713895,118945,7807378,29357377.8,
"2019-02-18 00:00:00",7892429,15635619,963146,159424,9829248,29483699.9,
"2019-02-19 00:00:00",7585721,9250402,853230,140500,7749397,29359692.2,
"2019-02-20 00:00:00",8291247,13671789,905933,119812,7822331,29331718.066666666,
"2019-02-21 00:00:00",7127524,12908565,954150,168139,8613164,29242739.733333334,
"2019-02-22 00:00:00",9201685,13060809,976290,159666,9345947,29313139.3,
"2019-02-23 00:00:00",8257631,12741034,696475,139810,9456709,29331313.166666668,
"2019-02-24 00:00:00",8101008,12880452,761014,123437,9186243,29309473.833333332,
"2019-02-25 00:00:00",7556923,14425277,966589,187187,9251220,29419010.966666665,
"2019-02-26 00:00:00",8342560,13327789,1001462,145626,10151247,29547157.566666666,
"2019-02-27 00:00:00",9364714,12116190,997067,170444,7764277,29466432.4,
"2019-02-28 00:00:00",7898849,12902209,816426,138024,6324888,29285109.466666665,
"2019-03-01 00:00:00",7298164,13381161,847790,146981,7867741,29222066.166666668,
"2019-03-02 00:00:00",6972041,11094440,705251,119563,7550846,29040564.4,
"2019-03-03 00:00:00",8448388,11510351,815673,116377,8041210,29002378.3,
"2019-03-04 00:00:00",8310380,14024971,915127,146678,8703469,29117168.766666666,
"2019-03-05 00:00:00",7765370,12991621,783008,132064,8882317,29254223.7,
"2019-03-06 00:00:00",7579818,11631602,861108,153804,8089498,29293499.066666666,
"2019-03-07 00:00:00",7899796,12211116,957631,154670,8724438,29433418.9,
"2019-03-08 00:00:00",8508719,11622367,747991,123671,8819815,29449066.5,
"2019-03-09 00:00:00",7958535,11993574,781601,119740,8584771,29559131.966666665,
"2019-03-10 00:00:00",7995572,11215670,740791,89048,6149738,29440558.333333332,
"2019-03-11 00:00:00",8003190,12354395,994308,158829,8773074,29505991.833333332,
"2019-03-12 00:00:00",8109203,12539480,843631,164253,8961015,29601826.233333334,
"2019-03-13 00:00:00",9173875,12142675,905561,141115,7762574,29716191.8,
"2019-03-14 00:00:00",8122038,12328136,919341,177398,7163997,29791730,
"2019-03-15 00:00:00",8477573,12769235,1003938,129809,7828428,29805699.433333334,
"2019-03-16 00:00:00",8979181,11857056,771834,132120,7981115,29797661.466666665,
"2019-03-17 00:00:00",8872662,11001262,730168,130063,8420662,29870448.1,
"2019-03-18 00:00:00",8249040,12876312,873727,166663,9181205,29919314.6,
"2019-03-19 00:00:00",7918001,11633159,814623,140341,8407492,29998543.933333334,
"2019-03-20 00:00:00",7326067,12184794,836571,116544,8159972,29803345.133333333,
"2019-03-21 00:00:00",7437001,9985191,868652,133944,8035196,29832703.666666668,
"2019-03-22 00:00:00",8594662,11273516,906116,151225,7091879,29739579.933333334,
"2019-03-23 00:00:00",7950329,10466070,773914,115929,8068746,29659694.3,
"2019-03-24 00:00:00",8628613,8050202,818104,128026,7015113,29389548.766666666,
"2019-03-25 00:00:00",8832610,11264634,964763,181352,7301273,29297983.033333335,
"2019-03-26 00:00:00",9048760,12728147,931345,113403,8989710,29323290.866666667,
"2019-03-27 00:00:00",8571744,12226837,887687,154380,9302308,29281816.2,
"2019-03-28 00:00:00",8528931,10674935,912509,180159,8280895,29135440.6,
"2019-03-29 00:00:00",8235691,11370760,983585,166000,8330829,29091246.1,
"2019-03-30 00:00:00",8502958,12809059,779460,162277,7559320,29149001.333333332,
"2019-03-31 00:00:00",8019940,11186029,728986,122968,6038875,29034166.566666666,
"2019-04-01 00:00:00",9140706,13101844,940461,142337,7795377,29190120.533333335,
"2019-04-02 00:00:00",9377683,11050514,820023,143145,7563537,29190884.233333334,
"2019-04-03 00:00:00",8360371,10321260,886934,141622,8617922,29065132.8,
"2019-04-04 00:00:00",8530162,12350781,1000385,130214,7843892,29041834.166666668,
"2019-04-05 00:00:00",8896652,11850546,837314,146437,6778600,29048291.033333335,
"2019-04-06 00:00:00",8935140,11269071,781426,114310,8639612,29041352.933333334,
"2019-04-07 00:00:00",7060088,10136771,841019,84520,7444941,28899511.233333334,
"2019-04-08 00:00:00",8056605,11682326,841573,173136,9490733,28926383.266666666,
"2019-04-09 00:00:00",8334288,11973401,818183,116180,8024294,29028902.066666666,
"2019-04-10 00:00:00",8986400,12144518,842950,151935,9226768,29064527.433333334,
"2019-04-11 00:00:00",8643900,12906834,832366,153595,8631992,29082895.766666666,
"2019-04-12 00:00:00",9748656,11803635,986453,168273,8743836,29127064.033333335,
