"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","30-day Moving Average","Prior Year: 30-day Moving Average"
"2019-01-01 00:00:00",1007,612,649,138,1189,,
"2019-01-02 00:00:00",1134,679,727,172,1296,,
"2019-01-03 00:00:00",1224,729,877,248,1411,,
"2019-01-04 00:00:00",1153,656,846,212,1371,,
"2019-01-05 00:00:00",1230,718,854,190,1460,,
"2019-01-06 00:00:00",1132,657,891,222,1269,,
"2019-01-07 00:00:00",1346,847,1148,309,1636,,
"2019-01-08 00:00:00",1190,726,962,259,1436,,
"2019-01-09 00:00:00",1330,754,1067,259,1458,,
"2019-01-10 00:00:00",1212,754,1039,285,1486,,
"2019-01-11 00:00:00",1303,814,1032,287,1535,,
"2019-01-12 00:00:00",1229,705,868,257,1433,,
"2019-01-13 00:00:00",1157,655,905,230,1205,,
"2019-01-14 00:00:00",1295,848,1148,349,1698,,
"2019-01-15 00:00:00",1181,669,1014,290,1391,,
"2019-01-16 00:00:00",1320,792,1091,295,1532,,
"2019-01-17 00:00:00",1220,748,988,278,1429,,
"2019-01-18 00:00:00",1258,759,1028,304,1547,,
"2019-01-19 00:00:00",1207,672,944,243,1467,,
"2019-01-20 00:00:00",1208,726,1027,268,1342,,
"2019-01-21 00:00:00",1207,769,1140,339,1677,,
"2019-01-22 00:00:00",1271,798,1137,329,1522,,
"2019-01-23 00:00:00",1322,739,1104,296,1469,,
"2019-01-24 00:00:00",1243,740,1029,294,1422,,
"2019-01-25 00:00:00",1247,791,1026,288,1549,,
"2019-01-26 00:00:00",1221,691,904,259,1345,,
"2019-01-27 00:00:00",1129,707,915,276,1282,,
"2019-01-28 00:00:00",1260,776,1112,334,1647,,
"2019-01-29 00:00:00",1342,760,1026,311,1473,,
"2019-01-30 00:00:00",1296,756,1096,306,1478,4669.9,
"2019-01-31 00:00:00",1242,730,1015,295,1458,4708.066666666667,
"2019-02-01 00:00:00",1234,769,1008,264,1521,4734.333333333333,
"2019-02-02 00:00:00",1177,658,877,261,1374,4729.6,
"2019-02-03 00:00:00",1127,680,902,250,1219,4727.6,
"2019-02-04 00:00:00",1126,643,1058,353,1511,4735.566666666667,
"2019-02-05 00:00:00",1181,672,951,291,1363,4745.133333333333,
"2019-02-06 00:00:00",1219,656,1016,271,1399,4720.966666666666,
"2019-02-07 00:00:00",1150,650,989,285,1414,4718.133333333333,
"2019-02-08 00:00:00",1202,722,911,282,1543,4711.2,
"2019-02-09 00:00:00",1089,675,862,244,1366,4693.2,
"2019-02-10 00:00:00",1049,638,881,263,1269,4664.166666666667,
"2019-02-11 00:00:00",1169,714,1141,337,1629,4680.766666666666,
