X,Y,portid,portname,country,ISO3,continent,fullname,lat,lon,vessel_count_total,vessel_count_container,vessel_count_dry_bulk,vessel_count_general_cargo,vessel_count_RoRo,vessel_count_tanker,industry_top1,industry_top2,industry_top3,share_country_maritime_import,share_country_maritime_export,LOCODE,pageid,countrynoaccents,ObjectId
15147311.0950538,4254923.85203606,port1325,Tsuruga,Japan,JPN,Asia & Pacific,"Tsuruga, Japan",35.66719379,136.0706107,529,77,96,115,187,54,Mineral Products,Wood & Wood Products,Vegetable Products,0.42,0.09,,3b1f40eb8acd452ab6229331302891fe,Japan,1
10996330.2513349,193165.405578009,port1198,Sibolga,Indonesia,IDN,Asia & Pacific,"Sibolga, Indonesia",1.734969159,98.78171534,81,28,2,4,8,39,Mineral Products,Prepared Foodstuffs & Beverages,Vegetable Products,0.08,0.01,,4d00b008b4be4068bf8a19d7da6e8cf6,Indonesia,2
12063063.0710255,2465268.52225189,port339,Fangcheng,China,CHN,Asia & Pacific,"Fangcheng, China",21.61420534,108.3643393,1968,34,1362,361,0,211,Mineral Products,Chemical & Allied Industries,Vegetable Products,1.9,0.42,,266042b244cf452a89f4a2de14f3da2f,China,3
14606584.8059802,4021402.44075359,port1335,Ube,Japan,JPN,Asia & Pacific,"Ube, Japan",33.94487467,131.2131838,4799,13,1195,1502,0,2089,Mineral Products,Chemical & Allied Industries,"Plastics, Rubber, Leather",0.76,2.35,,f3f6725ef00e4d3f8f9c93c45258667e,Japan,4
18741773.5149655,-5875427.58703623,port153,Bluff Harbor,New Zealand,NZL,Asia & Pacific,"Bluff Harbor, New Zealand",-46.59012995,168.360216,240,43,112,27,0,58,Wood & Wood Products,Metals,Prepared Foodstuffs & Beverages,7.79,2.84,,894ab5e5a18e48b6922c023196f74c8f,New Zealand,5
-164204.393165344,7359181.0867714,port1334,Tynemouth,United Kingdom,GBR,Europe,"Tynemouth, United Kingdom",54.98616295,-1.475073161,440,75,67,67,207,24,Wood & Wood Products,Mineral Products,Prepared Foodstuffs & Beverages,1.35,0.36,GB TYM,c5c5cc67df43466e999530930e8425d1,United Kingdom,6
13439488.0766536,4551048.9124275,port897,Penglai,China,CHN,Asia & Pacific,"Penglai, China",37.79885005,120.7289755,180,3,66,103,2,6,Mineral Products,Vegetable Products,Wood & Wood Products,0.04,0.03,,0f79b45e2a6b466682a3e2c4d5d8d3df,China,7
1693740.33248394,3808549.02591465,port750,Misrata,Libya,LBY,Africa,"Misrata, Libya",32.34398379,15.21512828,930,400,115,257,75,83,Mineral Products,Metals,Vegetable Products,45.57,8.07,,70d1343f8a804a53bd7d766c3dbed671,Libya,8
5360523.2473806,3560699.31390844,port563,Khorramshahr,Iran,IRN,Asia & Pacific,"Khorramshahr, Iran",30.44360334,48.15439964,154,21,5,128,0,0,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages,0.16,0.03,IR KHO,0c2107f4770842e4b68a3986bb94b6c4,Iran,9
14913858.3822843,4105068.13411199,port1343,Uno,Japan,JPN,Asia & Pacific,"Uno, Japan",34.56607811,133.9734693,270,0,15,106,0,149,Mineral Products,Chemical & Allied Industries,"Plastics, Rubber, Leather",0.02,0.06,,2ab531a159ee4add8bb76a491e2cf25b,Japan,10
12926691.1799031,-365300.575252474,port1224,Stagen,Indonesia,IDN,Asia & Pacific,"Stagen, Indonesia",-3.279758294,116.1224426,399,32,56,95,0,216,Mineral Products,Prepared Foodstuffs & Beverages,Chemical & Allied Industries,0.23,0.21,,1747e111d06f494194eb7b517b3854c4,Indonesia,11
5733908.01877381,4391133.88080339,port834,Nowshahr Port,Iran,IRN,Asia & Pacific,"Nowshahr Port, Iran",36.65505162,51.50857211,174,1,0,163,0,10,Vegetable Products,Mineral Products,Prepared Foodstuffs & Beverages,0.47,0.06,,0442995aff114fcbb7180bcb003ebe41,Iran,12
