实验,特征数,RF_Recall,ΔRF
全部18特征 (基线),18,86.0%±4%,基线
- gap_24h_ratio,17,85.6%±5%,-0.5%
- non_anch_low_ratio,17,86.0%±4%,+0.0%
- cog_high_vol_ratio,17,84.7%±4%,-1.4%
- loitering_h_ratio,17,86.0%±4%,+0.0%
- non_anch_low_max_dur_h,17,86.0%±4%,+0.0%
- cog_very_high_vol_ratio,17,85.6%±5%,-0.5%
- non_anch_low_events,17,85.6%±4%,-0.5%
- msr,17,84.2%±1%,-1.9%
- spc,17,86.0%±3%,+0.0%
- sdr,17,86.0%±4%,+0.0%
- port_dwell,17,85.1%±4%,-0.9%
- port_interval,17,84.7%±4%,-1.4%
- turn_nonport,17,85.6%±5%,-0.5%
- san_port_dwell,17,85.6%±4%,-0.5%
- san_of_port,17,85.1%±4%,-0.9%
- company_count,17,81.9%±2%,-4.2%
- age_risk,17,83.7%±4%,-2.3%
- flag_score,17,78.1%±6%,-7.9%
- 全部治理(3),15,70.7%±5%,-15.3%
- flag_score,17,78.1%±6%,-7.9%
- company_count(Equasis),17,81.9%±2%,-4.2%
- age_risk,17,83.7%±4%,-2.3%
- 靠港组(3),15,83.3%±3%,-2.8%
仅治理(3),3,78.1%±4%,-7.9%
仅靠港+制裁港+Equasis,6,77.7%±6%,-8.4%
仅v3(msr/spc/sdr),3,64.7%±5%,-21.4%
