实验,特征数,CV_Recall,CV_Prec,CV_F1,CV_AUC,ΔRecall
全部9特征 (基线),9,78.5%±11%,48.6%,59.6%,0.835,+0.0%
- gap_24h_ratio,8,79.6%±11%,46.9%,58.7%,0.833,+1.2%
- non_anch_low_ratio,8,78.5%±11%,48.6%,59.6%,0.834,+0.0%
- cog_high_vol_ratio,8,77.4%±10%,48.7%,59.2%,0.828,-1.1%
- loitering_h_ratio,8,78.5%±11%,48.6%,59.6%,0.834,+0.0%
- non_anch_low_max_dur_h,8,78.5%±11%,50.1%,60.8%,0.833,+0.0%
- cog_very_high_vol_ratio,8,77.2%±11%,48.2%,59.0%,0.821,-1.2%
- non_anch_low_events,8,78.5%±9%,50.7%,61.1%,0.837,+0.1%
- age_risk,8,65.4%±7%,50.0%,56.0%,0.790,-13.1%
- flag_score,8,62.9%±11%,40.2%,48.9%,0.760,-15.6%
