mmsi,n_points,total_days,gap_24h_ratio,gap_12h_count,gap_24h_count,gap_72h_count,gap_max_hours,gap_mean_hours,low_speed_ratio,non_anch_low_ratio,non_anch_low_events,non_anch_low_max_dur_h,loitering_h_ratio,cog_high_vol_ratio,cog_very_high_vol_ratio,cog_mean_vol,cog_max_vol,anomaly_index,gap_24h_ci95_lower,gap_24h_ci95_upper,non_anch_low_ci95_lower,non_anch_low_ci95_upper,cog_high_vol_ci95_lower,cog_high_vol_ci95_upper,anomaly_ci95_lower,anomaly_ci95_upper,gap_24h_ci90_lower,gap_24h_ci90_upper,non_anch_low_ci90_lower,non_anch_low_ci90_upper,cog_high_vol_ci90_lower,cog_high_vol_ci90_upper,anomaly_ci90_lower,anomaly_ci90_upper,gap_24h_ci80_lower,gap_24h_ci80_upper,non_anch_low_ci80_lower,non_anch_low_ci80_upper,cog_high_vol_ci80_lower,cog_high_vol_ci80_upper,anomaly_ci80_lower,anomaly_ci80_upper,ship_name,country,operator,sanction_sources,risk_level,hit_ofac,hit_un,hit_eu,hit_uk
636023362,215,178.5,0.242932,101,51,11,177.3,20.0,0.995349,0.986653,2,3523.4,1.0,0.98175,0.735057,75.4,144.21,70.31,0.186166,0.299699,0.974128,0.999179,0.966104,0.997397,68.2,72.42,0.193864,0.289307,0.979422,0.998962,0.971762,0.996859,68.66,72.14,0.203064,0.277561,0.984574,0.998608,0.977406,0.996054,69.16,71.82,Pride 1,Liberia,Radiance Nautical Marine Services,0,未命中,False,False,False,False
466244000,87,66.9,0.232863,27,19,4,243.3,18.7,0.988506,0.967847,1,1604.6,1.0,0.966366,0.839699,80.62,116.72,69.18,0.146248,0.319478,0.937727,0.997968,0.934863,0.99787,65.49,72.88,0.156484,0.302403,0.950108,0.997432,0.947783,0.997308,66.37,72.43,0.16911,0.283216,0.96234,0.996557,0.960564,0.996391,67.31,71.9,Khawr Aladid,Qatar,Milaha Gas and Petrochem,0,未命中,False,False,False,False
613011000,228,73.3,0.081964,31,17,4,236.8,7.7,0.986842,0.978775,4,1131.4,0.991189,0.912567,0.772119,77.78,144.63,64.53,0.04728,0.116649,0.962035,0.995515,0.876566,0.948568,62.44,66.62,0.050894,0.108902,0.967534,0.99473,0.884514,0.944753,62.86,66.33,0.055421,0.10047,0.973107,0.993608,0.893185,0.939987,63.31,65.99,Kira,Cameroon,Ju Long,0,未命中,False,False,False,False
352332000,712,127.0,0.016676,102,10,1,91.7,4.3,1.0,0.997317,1,3052.7,1.001406,0.852607,0.626433,66.85,161.64,62.41,0.007657,0.025695,0.994633,1.0,0.826634,0.878579,61.58,63.24,0.008426,0.023389,0.996214,1.0,0.831372,0.874968,61.75,63.11,0.00942,0.02095,0.997697,1.0,0.836711,0.870687,61.92,62.96,Teseo,Panama,PDV Marina,0,未命中,False,False,False,False
636017748,1788,180.4,0.003306,72,4,0,71.8,2.4,1.0,0.998928,1,4332.7,1.00056,0.826651,0.569357,64.38,160.9,61.59,0.000871,0.005742,0.997856,1.0,0.809118,0.844184,61.15,62.04,0.001005,0.004977,0.998489,1.0,0.812142,0.841575,61.23,61.96,0.001192,0.0042,0.999082,1.0,0.815583,0.838523,61.32,61.88,Deniz Sultan,Liberia,Ocean Exim Trading,0,未命中,False,False,False,False
273279460,3364,11.2,0.000571,0,0,0,1.1,0.1,0.99019,0.989631,4,151.2,0.990485,0.838898,0.588292,69.15,166.08,61.34,0.0,0.001141,0.986256,0.993006,0.826481,0.851316,60.97,61.7,0.0,0.000804,0.986974,0.992618,0.828591,0.849435,61.04,61.64,0.0,0.000488,0.98776,0.992142,0.830997,0.847242,61.11,61.58,Gallileo,Russia,Burevestmarin,1,低风险,True,False,False,False
352003485,3,47.3,0.671186,2,2,1,1110.9,567.6,1.0,0.719247,1,1702.9,1.5,0.0,0.0,0.0,0.0,60.86,0.342372,1.0,0.438494,1.0,0.0,0.0,44.21,77.5,0.424987,1.0,0.52576,1.0,0.0,0.0,48.9,77.5,0.548919,1.0,0.646061,1.0,0.0,0.0,55.6,77.5,Freda,Panama,Hera Gam,3,高风险,True,False,True,True
352700000,91,20.6,0.031125,13,1,0,28.5,5.5,1.0,0.979747,1,499.1,1.011111,0.7697,0.450463,56.27,153.28,60.73,0.001964,0.060286,0.959495,1.0,0.683907,0.855493,57.68,63.78,0.002482,0.04828,0.971122,1.0,0.700856,0.845373,58.38,63.28,0.003328,0.036429,0.98226,1.0,0.719889,0.832887,59.12,62.74,Nereo,Panama,PDV Marina,0,未命中,False,False,False,False
533133251,680,42.3,0.002813,16,0,0,23.9,1.5,0.976471,0.973794,4,650.0,0.977909,0.830959,0.508826,61.51,150.96,60.57,0.0,0.005626,0.962122,0.985466,0.802849,0.85907,59.59,61.55,0.0,0.003969,0.964854,0.98431,0.807916,0.85511,59.77,61.4,0.0,0.002415,0.967791,0.982853,0.81364,0.850426,59.98,61.22,Duta Abrar,Malaysia,Duta Marine,0,未命中,False,False,False,False
574005540,202,1.7,0.009377,0,0,0,5.1,0.2,1.0,0.990669,1,41.5,1.004975,0.767537,0.435593,54.47,120.18,60.38,0.0,0.018754,0.981337,1.0,0.709489,0.825584,58.7,62.06,0.0,0.013284,0.986781,1.0,0.720251,0.817849,59.08,61.76,0.0,0.00811,0.991929,1.0,0.732393,0.808571,59.48,61.45,Birth Young,Vietnam,Sao Viet Petrol Transportation,3,高风险,True,False,True,True
352189000,2,0.0,0.396728,0,0,0,1.0,1.0,1.0,0.671186,1,2.0,2.0,0.0,0.0,0.0,0.0,60.05,0.0,0.793457,0.342372,1.0,0.0,0.0,40.27,79.84,0.0,0.730169,0.424987,1.0,0.0,0.0,42.75,78.25,0.0,0.621717,0.548919,1.0,0.0,0.0,46.47,75.54,Zeus,Panama,PDV Marina,0,未命中,False,False,False,False
