mmsi,msf,dsr,vrs,sbi,aii
403101001,684.0,0.1121,27.6,9.5,0.09
403127000,574.4,0.3243,29.1,11.1,0.44
613003594,571.0,0.7,49.4,29.6,2.34
352001697,515.4,0.0,1.3,5.8,0.0
620999422,471.0,0.0,0.1,9.0,0.0
538012718,452.0,0.0,1.4,10.8,0.02
667002360,443.8,0.2125,59.2,1.9,0.04
538008775,425.4,0.2917,12.3,4.6,0.15
570294000,408.8,0.6522,107.1,3.0,0.75
229618000,394.8,0.2381,10.4,4.7,0.01
306103000,374.1,0.3333,34.0,7.8,0.07
352978181,372.5,0.3784,59.1,7.8,0.16
248417000,369.6,0.5,80.9,12.1,0.34
314204000,363.1,0.6667,59.0,9.5,0.51
667002338,354.6,0.12,59.3,4.7,0.01
248716000,353.5,0.4426,41.0,11.7,0.09
679881001,324.6,0.375,41.3,5.5,0.04
273270940,322.0,0.7576,59.3,10.9,0.3
538003439,318.3,0.1538,30.6,12.4,0.03
563215900,311.2,0.5263,96.2,10.4,0.2
613220056,303.8,0.1522,48.4,9.9,0.08
273259630,295.3,0.8205,71.0,11.5,0.33
636014923,290.5,0.5,96.5,18.3,2.5
352001387,287.6,0.0,0.1,0.0,0.0
413074000,281.0,0.175,17.3,3.0,0.06
563216400,278.6,0.5789,89.2,5.7,0.12
631010084,274.6,0.3125,30.5,8.8,0.03
636015767,265.7,0.3974,44.3,8.6,0.63
613881403,251.9,0.6042,60.3,14.2,0.28
248416000,250.3,0.2203,35.2,15.3,0.11
636014368,249.9,0.5789,43.0,21.9,0.32
461000253,247.3,0.2698,70.7,10.4,0.09
570297000,247.0,0.0,36.5,7.3,0.0
613569715,243.0,1.0,40.5,10.5,0.05
413069000,233.7,0.1163,19.2,3.8,0.03
241406000,233.3,0.3521,59.3,15.4,0.28
636020082,228.8,0.2,26.1,24.8,0.19
669613000,227.1,0.7059,37.1,18.5,0.11
565712000,224.8,0.5217,26.0,3.8,0.28
273279840,223.7,0.5122,59.3,19.9,0.18
538002845,223.5,0.6364,57.3,3.4,0.48
613003807,217.2,0.5714,40.5,3.0,0.13
241343000,215.5,0.3529,42.1,9.3,0.08
613404910,215.0,0.8462,32.8,18.6,0.38
273259910,211.5,0.3265,15.0,9.4,0.05
311000222,205.9,0.3158,74.7,6.0,0.1
667002025,204.2,0.5714,48.5,4.7,0.2
636024028,203.6,0.2222,57.4,6.1,0.06
235076274,202.9,0.2667,48.3,3.5,0.11
413858000,200.4,0.1282,53.4,14.3,0.06
667002334,199.4,0.2222,59.2,10.5,0.05
312050000,197.9,0.3333,29.0,7.0,0.22
632001144,193.0,0.8947,64.1,11.2,0.15
235076276,191.8,0.3735,22.0,6.4,0.58
309924000,191.8,0.5,49.3,3.2,0.33
273272260,190.8,0.697,70.6,6.1,0.36
273250830,190.1,0.7105,70.7,15.0,0.17
374430000,189.8,0.0226,2.0,11.0,0.02
620800007,187.7,0.2381,37.5,34.1,0.08
667001242,187.1,0.2118,59.3,7.3,0.04
463075101,183.7,0.5,27.2,3.7,0.12
373638000,183.3,0.4407,44.4,8.9,0.2
413120000,182.5,0.1136,18.8,5.4,0.05
667002336,181.8,0.4286,59.5,12.1,0.14
477144300,181.8,0.6571,36.0,10.6,0.34
620800047,179.9,0.3158,31.7,9.3,1.55
525121076,178.5,0.62,50.4,12.2,0.29
574534000,177.1,0.0,0.3,22.8,0.0
538009850,175.0,0.3279,26.6,10.8,0.12
636019392,172.0,0.5102,54.8,8.5,0.15
750057000,171.0,0.0,28.1,21.6,0.0
468124000,170.8,0.4167,37.3,19.1,0.13
538006514,170.6,0.4167,48.4,5.9,0.19
461000238,169.2,0.5366,41.7,4.5,0.14
403097001,168.5,0.339,23.9,7.2,0.14
311018700,166.1,0.7089,59.2,7.4,0.26
352898793,165.7,0.5094,59.1,8.6,0.2
249575000,165.6,0.5833,59.1,6.5,0.14
352005357,164.2,0.5405,50.4,10.6,0.07
636014423,162.3,0.7838,30.8,13.8,0.34
273278480,162.1,0.0923,28.7,7.0,0.11
650000177,161.7,0.2069,37.5,26.7,0.01
613606500,161.2,0.3889,13.5,8.3,0.1
314001093,160.4,0.6061,59.3,13.4,0.21
249356000,160.4,0.8333,67.0,1.3,0.23
620800034,160.3,0.1667,28.4,21.7,0.86
273278840,160.3,0.5072,48.5,6.3,0.19
461000233,159.2,0.4485,70.7,15.7,0.5
311000225,159.1,0.3125,47.8,19.0,0.07
309987000,158.8,0.3846,30.3,6.5,0.09
636014114,158.3,0.4091,42.4,12.5,0.19
538011949,155.8,0.4386,33.9,7.5,0.14
273257030,155.6,0.8846,70.7,17.8,0.19
255806147,155.3,0.3429,44.7,27.9,0.07
631010074,155.0,0.7143,52.2,25.7,0.49
273271660,152.7,0.84,70.7,14.2,0.22
631010107,152.2,0.6786,44.7,6.8,0.46
311000357,151.4,0.4074,26.1,10.5,0.12
613447795,150.6,0.0,32.5,1.1,0.0
538011124,149.3,0.5,37.6,20.7,0.34
667002359,149.1,0.3235,59.2,4.6,0.03
215065000,148.5,0.4058,21.1,4.9,0.19
229094000,148.4,0.675,64.5,5.9,0.22
215307000,147.9,0.1923,19.8,8.0,0.08
667002293,146.1,0.1667,58.7,1.6,0.0
412245000,145.5,0.5122,45.6,5.2,0.06
636019358,145.3,0.6087,44.8,3.6,0.12
352005806,144.1,0.3871,49.8,5.8,0.11
538010321,143.1,0.297,15.0,10.7,0.29
273274080,142.3,0.0,5.4,2.8,0.01
311027500,141.6,0.383,12.6,10.2,0.12
273271320,141.5,0.84,66.2,17.7,0.11
667002004,141.1,0.54,61.5,6.8,0.32
613442815,141.0,0.0,0.4,15.8,0.04
667001235,140.2,0.3281,48.3,9.0,0.02
641000041,140.2,0.0,50.0,25.5,0.0
631010088,140.2,0.5435,50.2,9.6,0.34
372939000,139.3,0.3542,33.5,5.2,0.56
613442803,138.7,0.1111,9.3,10.0,0.01
256702000,138.4,0.5517,30.0,17.0,0.12
538005006,138.2,0.5532,19.7,5.6,0.2
538003608,137.8,0.7143,48.3,6.9,0.08
613511600,136.8,0.76,49.4,11.0,0.17
249746000,136.4,0.3654,15.0,8.9,0.25
238252000,135.8,0.4762,39.7,14.2,0.27
461000321,135.5,0.8125,49.6,24.0,0.17
371325000,135.5,0.5333,36.8,4.1,0.52
613541500,135.3,0.5,41.7,17.2,0.15
613511201,135.0,0.5909,40.8,3.9,0.09
750416000,135.0,0.0,2.1,8.7,0.0
636022405,134.7,0.5417,43.4,10.3,0.23
631010110,133.8,0.6047,48.5,20.7,1.06
538012094,133.5,0.5256,54.4,8.0,0.25
352005301,133.2,0.6,48.5,26.1,0.3
240547000,132.8,0.6667,36.2,6.4,0.27
667001627,132.7,0.6552,54.8,7.6,0.17
538008084,131.5,0.0,89.7,12.1,0.0
357449000,131.0,0.4,105.9,7.4,0.07
371499000,131.0,0.6667,41.6,5.2,0.16
403098000,131.0,0.1667,15.3,11.3,0.05
273254130,130.7,0.4324,59.1,19.7,0.12
636018917,130.5,0.7105,59.1,15.6,0.82
650630000,130.3,0.4474,44.5,5.6,0.12
352004150,130.1,0.193,29.4,2.3,0.16
613412600,130.0,0.32,41.8,12.1,0.0
355600000,129.9,0.5769,33.9,13.7,0.15
613271440,129.7,0.6438,44.0,11.7,0.3
461000187,129.7,0.6875,66.7,11.1,0.09
667002308,129.0,0.7742,54.8,3.0,0.34
563759000,129.0,0.0714,21.7,7.2,0.02
565949000,128.7,0.0741,21.7,9.4,0.07
240633000,128.5,0.6795,59.5,13.6,0.35
538008070,128.2,0.6333,50.2,15.1,0.34
311027600,127.6,0.3611,13.7,7.0,0.09
631010090,127.6,0.1875,29.7,20.1,0.05
423530100,127.5,0.1765,4.2,2.3,0.0
538012112,127.4,0.0758,54.7,10.9,0.63
311027400,126.2,0.45,13.7,3.3,0.1
613447202,126.1,0.3871,60.1,15.9,0.16
538006198,125.9,0.3462,35.8,13.1,0.06
273272850,125.7,0.5625,48.5,18.4,0.07
352005395,125.6,0.0,37.8,5.5,0.0
352179000,125.5,0.4752,59.1,6.7,0.28
461000282,124.7,0.3585,30.7,3.5,0.06
311039900,124.3,0.4714,59.3,11.1,0.28
419795000,123.6,0.1818,30.1,17.7,1.47
667001708,123.4,0.5469,48.5,14.4,0.2
667002260,122.6,0.1951,31.4,38.4,0.0
525121061,122.1,0.5,54.4,9.0,0.28
215068000,121.9,0.525,15.1,1.8,0.25
311000223,121.6,0.4808,34.9,6.8,0.09
248895000,120.9,0.5263,29.8,7.5,0.18
636017739,120.7,0.4375,15.2,2.4,0.1
