mmsi,msr,spc,sdr,port_dwell,port_interval,turn_nonport,san_port_dwell,san_of_port
352001732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
341618001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
668116314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352001616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525021322,0.00016,0.0193,0.989379,0.00016,0.0,0.0,0.00016,0.0
636026516,0.000271,0.0285,0.915908,0.999729,6.4393,0.0,0.000271,0.0
525021310,0.000495,-0.0789,0.985649,0.000495,0.0,0.0,0.000495,0.0
650000303,0.000549,-0.0148,0.915908,0.000549,0.0,0.0,0.000549,0.0
655990000,0.001034,0.7943,0.820663,0.000182,0.0,0.671186,0.000182,0.0
636017748,0.001072,0.0745,0.989319,0.001072,0.0,0.0,0.001072,0.0
525019644,0.001085,-0.0153,0.98926,0.001085,0.0,0.0,0.001085,0.0
525701879,0.002123,0.0117,0.960673,0.002123,0.0,0.0,0.002123,0.0
610000033,0.002361,0.2076,0.853424,0.000157,0.0,0.87058,0.000157,0.0
525100654,0.002367,-0.0773,0.988691,0.000657,0.0,0.0,0.000657,0.0
352332000,0.002683,0.0396,0.984105,0.002683,0.0,0.0,0.002683,0.0
636026561,0.004295,0.0418,0.804828,0.998735,0.3341,0.0,0.000832,0.0
630001052,0.004955,0.1556,0.972789,0.999735,54.4219,0.177169,0.000265,0.0
750062000,0.005288,0.4501,0.750367,0.046433,0.0769,3.06779,5.2e-05,0.0
352002070,0.006791,0.8038,0.7852,0.006791,0.0,0.0,0.006791,0.0
613442790,0.007312,0.4262,0.751105,0.000352,0.0,0.603272,0.000352,0.0
636023362,0.008777,0.9872,0.982352,0.008777,0.0,0.0,0.008777,0.0
574005540,0.009331,0.0566,0.719247,0.009331,0.0,0.0,0.009331,0.0
655071176,0.010147,0.2954,0.195172,0.006673,0.0,0.0,0.006673,0.0
273279460,0.010369,0.1279,0.815625,0.00057,0.0,0.0,0.00057,0.0
312868800,0.010866,0.0634,0.24495,0.005323,0.0,0.0,0.005323,0.0
613447803,0.011014,0.5276,0.410461,6.3e-05,0.0,1.337353,6.3e-05,0.0
775091000,0.011796,0.6393,0.601609,0.011796,0.0,0.0,0.011796,0.0
620800046,0.012161,0.1026,0.016873,3.4e-05,0.0,0.603272,3.4e-05,0.0
273276660,0.012795,0.3081,0.152075,0.082432,0.0157,1.874149,4.6e-05,0.0
422182000,0.013474,0.1127,0.177169,0.586237,0.0,0.0,0.000225,0.0
306724000,0.013957,0.6085,0.517336,0.000571,0.0,0.0,0.000571,0.0
750013000,0.014467,0.3465,0.88696,8e-06,0.0,0.0,8e-06,0.0
655180000,0.015106,0.6364,0.850694,2.4e-05,0.0,0.603272,2.4e-05,0.0
273277290,0.015213,0.5711,0.587257,0.327593,0.4469,0.0,0.00016,0.0
533133159,0.016163,0.2082,0.969434,0.016163,0.0,0.0,0.016163,0.0
352314000,0.016592,0.3077,0.833627,6.8e-05,0.0,2.43058,6.8e-05,0.0
636021407,0.016793,0.1197,0.939275,7.8e-05,0.0,3.494878,7.8e-05,0.0
273273670,0.017809,0.1131,0.903914,0.799322,3.1154,0.396728,0.000205,0.0
525119077,0.018533,0.4214,0.370468,0.278139,0.3103,2.36064,3.7e-05,0.0
352873000,0.01905,0.0645,0.653229,0.000997,0.0,0.0,0.000488,0.0
671265100,0.019524,0.1848,0.943761,6.1e-05,0.0,1.35593,6.1e-05,0.0
352700000,0.020253,-0.0405,0.882423,0.020253,0.0,0.0,0.020253,0.0
613881500,0.020587,0.2289,0.07589,0.131156,0.0062,1.194374,0.000294,0.001623
466244000,0.021144,-0.0714,0.955165,0.021144,0.0,0.0,0.021144,0.0
613011000,0.021225,0.2297,0.955165,0.008285,0.0,0.0,0.008285,0.0
273275260,0.021712,0.4958,0.382243,0.074428,0.0798,1.690389,0.000454,0.005324
273270180,0.023049,0.3378,0.39413,0.100101,0.1711,1.745204,5.3e-05,0.0
621819083,0.024363,0.4972,0.443449,0.024363,0.0,0.0,0.024363,0.0
511102028,0.025961,0.1766,0.171652,0.021828,0.0,0.842372,0.00015,0.0
533133251,0.026206,0.0473,0.937645,0.002809,0.0,0.0,0.002809,0.0
314001132,0.027539,0.4878,0.33315,0.103418,0.0791,3.534331,5.4e-05,0.0
613961020,0.02792,0.3129,0.137047,0.099945,0.1452,1.037418,0.005911,0.058883
273277180,0.029592,0.3679,0.285273,0.129795,0.193,1.211266,0.000554,0.003938
613277601,0.029927,0.3752,0.275147,0.065085,0.1395,1.461364,0.00085,0.012368
273278070,0.030539,0.3941,0.576218,0.009779,0.1192,1.869488,1.3e-05,0.0
667002211,0.030826,0.4147,0.344494,0.040653,0.0912,4.666148,0.005118,0.125115
667002070,0.031554,0.3006,0.213611,0.060987,0.0789,1.376254,0.003311,0.053659
629009500,0.03158,0.2858,0.264654,0.089059,0.2463,1.041762,0.002238,0.024805
306689000,0.0324,0.499,0.506185,0.033659,0.0735,2.0303,0.00011,0.0
