imo,company_count,error
9256066,27,
9136058,45,
9404948,37,
9388807,20,
9178329,34,
9402471,51,
9337391,28,
9243033,12,
9266865,24,
9413028,11,
9346720,26,
9258480,29,
9414034,19,
9395379,26,
9339313,27,
9354301,36,
9336414,25,
9266841,40,
9378618,29,
9249128,32,
9260809,17,
9430313,28,
9312884,25,
9433585,14,
9319698,17,
9489285,28,
9383869,25,
9319703,48,
9258894,27,
9460136,14,
9460564,20,
9472622,14,
9412177,12,
9413004,27,
9380673,26,
9292515,0,
9402495,9,
9292979,26,
9484077,14,
9265756,52,
9360130,34,
9229350,22,
