imo,company_count,error
9389100,25,
9467732,13,
9437983,0,no_result
9252371,31,
9240172,23,
9384069,0,
9233234,0,
9308857,32,
9247792,38,
9251810,33,
9296810,25,
9387255,34,
9440526,12,
9394947,16,
9407445,17,
9413688,23,
9249130,36,
9398266,16,
9291262,31,
9439670,17,
9236248,37,
9436018,35,
9262924,43,
9467770,11,
9311531,46,
9388730,19,
9461855,16,
9390173,9,
9282792,34,
9368235,27,
9528043,8,
9322827,41,
9402225,10,
9484089,16,
9256078,30,
9438860,13,
9247883,48,
9453030,19,
9259680,14,
9341079,33,
9509035,10,
9374868,21,
9315458,26,
9336397,12,
9321689,39,
9422196,9,
9249178,24,
9413016,9,
9258868,43,
9325908,14,
9291250,45,
9428982,21,
9446427,19,
9319674,41,
9405057,28,
9487184,19,
9461843,18,
9419369,10,
9364239,22,
9313486,26,
9343340,13,
9389095,25,
9511521,36,
9288851,0,
