mmsi,ship_name,imo,country,operator,build_year,ship_type,deadweight,source,match_score,match_reason,sdn_number,sdn_name,sdn_type,sdn_program,sdn_country,sdn_remarks,sdn_extra
613442803,Aether,9328170,Cameroon,Undisclosed,2007.0,LR2 TNKR,0000-00-00,archive,100,IMO=9328170,54808,AETHER,vessel,IRAN-EO13902,Panama,-0- ,Vessel Year of Build 2007; Vessel Registration Identification IMO 9328170; MMSI 352002230; Linked To: THE ZULU SHIPS MANAGEMENT AND OPERATION - SOLE PROPRIETORSHIP L.L.C.
620999422,Agni,9337389,Comoros,Irtysh Shipping Inc,2007.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9337389,48417,GLAUCUS,vessel,SDGT,Comoros,-0- ,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; Vessel Registration Identification IMO 9337389; MMSI 620999422; Linked To: OCEANLINK MARITIME DMCC."
273273460,Akcent,9381732,Russia,Undisclosed,2008.0,LR2 TNKR,0000-00-00,archive,100,IMO=9381732,47216,HS BURAQ,vessel,RUSSIA-EO14024,Liberia,-0- ,Secondary sanctions risk: See Section 11 of Executive Order 14024.; Vessel Registration Identification IMO 9381732; MMSI 636022364; Linked To: HENNESEA HOLDINGS LIMITED.
273273670,Akhill,9410870,Russia,Global Seaway,2008.0,LR2 TNKR,0000-00-00,archive,100,IMO=9410870,47218,HS EVERETT,vessel,RUSSIA-EO14024,Liberia,-0- ,Secondary sanctions risk: See Section 11 of Executive Order 14024.; Vessel Registration Identification IMO 9410870; MMSI 636022403; Linked To: HENNESEA HOLDINGS LIMITED.
273271560,Akkord,9259599,Russia,Hennesea Holdings,2003.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9259599,47214,HAI II,vessel,RUSSIA-EO14024,Liberia,-0- ,Secondary sanctions risk: See Section 11 of Executive Order 14024.; Vessel Registration Identification IMO 9259599; MMSI 636016693; Linked To: HENNESEA HOLDINGS LIMITED.
273273360,Aksel,9410894,Russia,Undisclosed,2009.0,LR2 TNKR,0000-00-00,archive,100,IMO=9410894,47217,HS ESBERG,vessel,RUSSIA-EO14024,Liberia,-0- ,Secondary sanctions risk: See Section 11 of Executive Order 14024.; Vessel Registration Identification IMO 9410894; MMSI 636022386; Linked To: HENNESEA HOLDINGS LIMITED.
750931000,Ala,9198094,Guyana,Bluespectrum Shipping,2000.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9198094,51849,JOEL,vessel,SDGT,Palau,-0- ,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; Vessel Registration Identification IMO 9198094; MMSI 511101321; Linked To: BLUESPECTRUM SHIPPING S.A."
650000125,Alba,9268112,Mozambique,Crystal Gas,2003.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9268112,51647,OLIA,vessel,UKRAINE-EO13662] [IRAN-EO13846] [RUSSIA-EO14024,Unknown,-0- ,"Former Vessel Flag Gabon; Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Year of Build 2003; Vessel Registration Identification IMO 9268112; MMSI 626450000; Linked"
273277360,Algoritm,9299745,Russia,Julius Capital,2006.0,LR2 TNKR,0000-00-00,archive,100,IMO=9299745,47215,HS ARGE,vessel,RUSSIA-EO14024,Liberia,-0- ,Secondary sanctions risk: See Section 11 of Executive Order 14024.; Vessel Registration Identification IMO 9299745; MMSI 636022360; Linked To: HENNESEA HOLDINGS LIMITED.
650000122,Altaris Wolf,9237412,Mozambique,Undisclosed,2004.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9237412,53137,SEASKY,vessel,IRAN-EO13902,San Marino,-0- ,"Vessel Registration Identification IMO 9237412; MMSI 268242902; Linked To: SEASKY MARINE CO., LIMITED."
352001387,Amber 6,9235713,Panama,Sunne,2003.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9235713,51674,AMBER 6,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,Panama,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9235713; MMSI 352001387; Linked To: SUNNE CO LIMITED."
629009452,Amell,9257993,Gambia,Shanghai VIII Maritime,2003.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9257993,52379,MISTRAL 1,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,San Marino,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9257993; MMSI 268249200; Linked To: ODINE MARINE INCORPORATED."
647553032,Amie,9233234,Madagascar,Amie Marine,2002.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9233234,54050,ELOISE,vessel,IRAN-EO13846,Gabon,-0- ,Vessel Year of Build 2002; Vessel Registration Identification IMO 9233234; MMSI 626143000; Linked To: VROOM MARINE VENTURE FZE.
0,Anika,9305609,Unknown,Imperial Shipping International,2006.0,LR2 TNKR,0000-00-00,archive,100,IMO=9305609,51837,CELINE,vessel,SDGT,Panama,-0- ,"Secondary sanctions risk: section 1(b) of Executive Order 13224, as amended by Executive Order 13886; Vessel Registration Identification IMO 9305609; MMSI 352001369; Linked To: SALINA SHIP MANAGEMENT PVT LTD."
273271070,Antares,9322827,Russia,Global Seaway,2006.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9322827,47225,PERIA,vessel,RUSSIA-EO14024,Liberia,-0- ,Secondary sanctions risk: See Section 11 of Executive Order 14024.; Vessel Registration Identification IMO 9322827; MMSI 636022479; Linked To: HENNESEA HOLDINGS LIMITED.
273251530,Antarktika,9413559,Russia,Novoship,2009.0,LR2 TNKR,0000-00-00,archive,100,IMO=9413559,46972,NS ANTARCTIC,vessel,RUSSIA-EO14024,Gabon,-0- ,Secondary sanctions risk: See Section 11 of Executive Order 14024.; Vessel Registration Identification IMO 9413559; MMSI 626372000; Linked To: JOINT STOCK COMPANY SOVCOMFLOT.
422056600,Apama,9187631,Iran,NITC,2000.0,AFRAMAX TNKR,0000-00-00,archive,100,IMO=9187631,15040,APAMA,vessel,IRAN,Iran,-0- ,Former Vessel Flag Tuvalu; alt. Former Vessel Flag Malta; Additional Sanctions Information - Subject to Secondary Sanctions; Vessel Registration Identification IMO 9187631; MMSI 256845000; Linked To: NATIONAL IRANIAN TANKER COMPANY.
