mmsi,imo,ship_name,country,operator,build_year,ship_type,deadweight,source,hit_ofac,hit_un,hit_eu,hit_uk,sanction_detail,sanction_sources,risk_level,flag_score_x,paris_list_x,tokyo_list_x,paris_risk_x,flag_detail_x,final_risk,flag_score_y,paris_list_y,tokyo_list_y,paris_risk_y,flag_detail_y
636014923,9489027.0,Abu Dhabi III,Liberia,ADNOC Logistics and Services,2011.0,LR2 TNKR,0000-00-00,archive,False,False,False,False,,0,未命中,0,White,Not Listed,Low,Paris:White,低风险,0,White,High Performance,Low,Paris:White; Tokyo:High
314102000,9258480.0,Acheron,Barbados,Star Marine Management,2004.0,AFRAMAX TNKR,0000-00-00,archive,False,False,False,False,,0,未命中,0,White,Not Listed,Low,Paris:White,低风险,1,White,Medium Performance,Low,Paris:White; Tokyo:Medium
461000320,9368223.0,Achilles,Oman,Vijaynagar Voyage Shipping,2008.0,LR2 TNKR,0000-00-00,archive,False,False,True,True,"[EU] EU:Achilles (20.7.2025) | [UK] UK:ACHILLES [] (Oil Tanker, Panama)",2,中风险,0,Not Listed,Not Listed,,未列入,高风险,0,Not Listed,Not Listed,,未列入
538006198,9472622.0,Advantage Atom,Marshall Islands,Advantage Tankers,2011.0,AFRAMAX TNKR,0000-00-00,archive,False,False,False,False,,0,未命中,0,White,Not Listed,Low,Paris:White,低风险,0,White,High Performance,Low,Paris:White; Tokyo:High
240633000,9338917.0,Aegean Harmony,Greece,Arcadia Shipmanagement,2007.0,AFRAMAX TNKR,0000-00-00,archive,False,False,False,False,,0,未命中,0,White,Not Listed,Low,Paris:White,低风险,0,White,High Performance,Low,Paris:White; Tokyo:High
240657000,9345441.0,Aegean Nobility,Greece,Arcadia Shipmanagement,2007.0,AFRAMAX TNKR,0000-00-00,archive,False,False,False,False,,0,未命中,0,White,Not Listed,Low,Paris:White,低风险,0,White,High Performance,Low,Paris:White; Tokyo:High
613442803,9328170.0,Aether,Cameroon,Undisclosed,2007.0,LR2 TNKR,0000-00-00,archive,True,False,True,True,"[OFAC] IRAN-EO13902 | [EU] EU:AETHER (24.4.2026) | [UK] UK:IMO 9328170 ('AETHER')  [] (Oil Tanker, nan)",3,高风险,3,Black,Not Listed,Very High Risk,Paris:Black(Very High Risk),极高风险,3,Black,Low Performance,Very High Risk,Paris:Black(Very High Risk); Tokyo:Low(EF=5.1)
370309000,9404936.0,Afra Mare,Panama,Fearnley Securities AS,2008.0,LR2 TNKR,0000-00-00,archive,False,False,False,False,,0,未命中,0,White,Not Listed,Low,Paris:White,低风险,0,White,High Performance,Low,Paris:White; Tokyo:High
215401000,9431381.0,Afra Rossi,Malta,Kaptanoglu Group,2010.0,AFRAMAX TNKR,0000-00-00,archive,False,False,False,False,,0,未命中,0,White,Not Listed,Low,Paris:White,低风险,0,White,High Performance,Low,Paris:White; Tokyo:High
636022972,9273844.0,Aframax Rio,Liberia,Hellenic Tankers,2004.0,AFRAMAX TNKR,0000-00-00,archive,False,False,False,False,,0,未命中,0,White,Not Listed,Low,Paris:White,低风险,0,White,High Performance,Low,Paris:White; Tokyo:High
373638000,9282912.0,Aframax Riviera,Panama,Hellenic Tankers,2005.0,AFRAMAX TNKR,0000-00-00,archive,False,False,False,False,,0,未命中,0,White,Not Listed,Low,Paris:White,低风险,0,White,High Performance,Low,Paris:White; Tokyo:High
636019903,9437672.0,Afrapearl II,Liberia,C3is Inc,2010.0,AFRAMAX TNKR,0000-00-00,archive,False,False,False,False,,0,未命中,0,White,Not Listed,Low,Paris:White,低风险,0,White,High Performance,Low,Paris:White; Tokyo:High
620999422,9337389.0,Agni,Comoros,Irtysh Shipping Inc,2007.0,AFRAMAX TNKR,0000-00-00,archive,True,False,True,True,"[OFAC] SDGT | [EU] EU:Agni (21.5.2025) | [UK] UK:AGNI [] (nan, Comoros)",3,高风险,3,Black,Not Listed,Very High Risk,Paris:Black(Very High Risk),极高风险,3,Black,Low Performance,Very High Risk,Paris:Black(Very High Risk); Tokyo:Low(EF=2.1)
