mmsi,imo,ship_name,country,operator,build_year,ship_type,deadweight,builder,builder_country,age_risk,n_points,total_days,sanction_sources,risk_level,hit_ofac,hit_un,hit_eu,hit_uk,flag_score,paris_list,tokyo_list,gap_24h_ratio,gap_24h_ci95_lower,gap_24h_ci95_upper,gap_24h_ci90_lower,gap_24h_ci90_upper,gap_24h_ci80_lower,gap_24h_ci80_upper,gap_12h_count,gap_24h_count,gap_72h_count,gap_max_hours,gap_mean_hours,low_speed_ratio,non_anch_low_ratio,non_anch_low_ci95_lower,non_anch_low_ci95_upper,non_anch_low_ci90_lower,non_anch_low_ci90_upper,non_anch_low_ci80_lower,non_anch_low_ci80_upper,non_anch_low_events,non_anch_low_max_dur_h,loitering_h_ratio,msr,spc,sdr,port_dwell,port_interval,turn_nonport,san_port_dwell,san_of_port,cog_high_vol_ratio,cog_high_vol_ci95_lower,cog_high_vol_ci95_upper,cog_high_vol_ci90_lower,cog_high_vol_ci90_upper,cog_high_vol_ci80_lower,cog_high_vol_ci80_upper,cog_very_high_vol_ratio,cog_mean_vol,cog_max_vol,anomaly_index,anomaly_ci95_lower,anomaly_ci95_upper,anomaly_ci90_lower,anomaly_ci90_upper,anomaly_ci80_lower,anomaly_ci80_upper,data_sufficiency,confidence_grade,name_changes,flag_changes,owner_changes,total_identity_changes,recorded_calls,unrecorded_call_ratio,hotspot_dwell_ratio,logistic_score,logistic_score_std,logistic_score_ci95_lower,logistic_score_ci95_upper,prediction_credibility,quadrant,company_count,company_source
775090000,9543500.0,Yare,Venezuela,PDV Marina,2011.0,AFRAMAX TNKR,0000-00-00,Sumitomo,Japan,1,7053,180.6,1,低风险,True,False,False,False,0,Not Listed,Not Listed,0.001264,0.000481,0.002048,0.000538,0.00183,0.000614,0.001603,121,7,1,156.1,0.6,0.950376,0.950131,0.945058,0.955203,0.945947,0.954459,0.946954,0.953587,246,226.1,0.95051,0.049444,0.0619,0.988822,0.000272,0.0,0.809815,0.000272,0.0,0.861769,0.853716,0.869822,0.855069,0.868586,0.856615,0.867149,0.659865,72.9,177.19,60.03,59.7,60.36,59.75,60.31,59.81,60.25,0.579,B,0,0,0,0,0,0.0,0.0,80.88,15.61,50.28,100.0,高可信,A_确认影子,28.0,simulated_noisy
750064162,,,,,,,,,,0,14698,72.6,0,未命中,False,False,False,False,0,Unknown,Unknown,0.000131,0.0,0.000261,0.0,0.000184,0.0,0.000112,1,0,0,19.5,0.1,0.941693,0.941577,0.937788,0.945367,0.938431,0.944792,0.939165,0.944122,229,173.6,0.941757,0.039241,0.2522,0.883907,0.000131,0.0,0.0,0.000131,0.0,0.80052,0.79406,0.80698,0.795122,0.805965,0.79634,0.804791,0.537488,62.95,180.0,58.39,58.14,58.63,58.18,58.59,58.23,58.55,0.366,C,0,0,0,0,0,0.0,0.0,44.27,4.49,35.47,53.07,中可信,D_正常,10.0,simulated_noisy
655180000,9256468.0,Hai Long,Malawi,Undisclosed,2003.0,AFRAMAX TNKR,0000-00-00,Samsung,South Korea,2,78634,76.3,1,低风险,True,False,False,False,0,Not Listed,Not Listed,6.3e-05,1.3e-05,0.000112,1.5e-05,9.5e-05,1.8e-05,7.9e-05,8,3,0,57.1,0.0,0.975558,0.975534,0.974455,0.976614,0.974635,0.976447,0.974842,0.976254,5,768.3,0.97557,0.015106,0.6364,0.850694,2.4e-05,0.0,0.603272,2.4e-05,0.0,0.717298,0.714151,0.720446,0.71466,0.719943,0.715246,0.719363,0.397029,52.21,180.0,58.25,58.15,58.34,58.17,58.33,58.18,58.31,0.711,B,0,0,0,0,0,0.0,0.0,77.49,12.62,52.75,100.0,高可信,A_确认影子,31.0,simulated_noisy
574534000,9266372.0,Van Phong 1,Vietnam,Petrolimex,2004.0,LR2 TNKR,0000-00-00,Daewoo,South Korea,2,20898,180.6,0,未命中,False,False,False,False,2,Black,High Performance,0.000283,7.4e-05,0.000492,8.6e-05,0.000426,0.000102,0.00036,8,4,0,70.0,0.2,0.906833,0.906758,0.902817,0.9107,0.903473,0.910088,0.904223,0.909379,892,217.7,0.906877,0.071617,0.2639,0.917034,9.2e-05,0.0,2.186399,9.2e-05,0.0,0.578525,0.57183,0.58522,0.57291,0.584148,0.574154,0.582912,0.267966,41.93,180.0,52.38,52.13,52.64,52.17,52.6,52.22,52.55,0.735,B,0,0,0,0,0,0.0,0.0,77.8,14.24,49.89,100.0,高可信,B_潜在影子,22.0,equasis_real
273271560,9259599.0,Akkord,Russia,Hennesea Holdings,2003.0,AFRAMAX TNKR,0000-00-00,Sumitomo,Japan,2,31814,149.1,3,高风险,True,False,True,True,1,Grey,Medium Performance,0.000155,3.2e-05,0.000277,3.8e-05,0.000236,4.6e-05,0.000195,6,3,0,57.2,0.1,0.941221,0.930576,0.927784,0.933368,0.928248,0.932935,0.928779,0.932432,134,473.4,0.930657,0.043684,0.1979,0.867936,0.011375,0.2863,1.842531,6e-05,0.0,0.521374,0.515885,0.526864,0.516768,0.525982,0.517785,0.524966,0.315175,41.69,165.9,52.31,52.11,52.51,52.14,52.47,52.18,52.44,0.771,B,0,0,0,0,0,0.0,0.0,78.62,14.13,50.93,100.0,高可信,A_确认影子,31.0,equasis_real
636021407,9247455.0,Kristina,Liberia,Kristina Marine Holding,2004.0,AFRAMAX TNKR,0000-00-00,Hyundai Heavy Ind Ulsan Shipyard,South Korea,2,24645,180.0,0,未命中,False,False,False,False,0,White,High Performance,0.00024,6.3e-05,0.000417,7.3e-05,0.000362,8.6e-05,0.000305,59,4,1,73.5,0.2,0.973788,0.973714,0.971718,0.97571,0.972061,0.975411,0.972451,0.975061,46,763.4,0.973827,0.016793,0.1197,0.939275,7.8e-05,0.0,3.494878,7.8e-05,0.0,0.397484,0.391374,0.403594,0.392351,0.402607,0.393478,0.401471,0.222843,33.11,161.58,51.77,51.59,51.96,51.62,51.93,51.65,51.9,0.776,B,0,0,0,0,0,0.0,0.0,45.97,3.71,38.7,53.24,高可信,B_潜在影子,20.0,equasis_real
671265100,9038854.0,Warrior King,Togo,Umbridges Trade,1993.0,AFRAMAX TNKR,0000-00-00,Hyundai Heavy Ind Ulsan Shipyard,South Korea,3,31595,136.2,0,未命中,False,False,False,False,2,Black,Low Performance,6.1e-05,0.0,0.000122,0.0,8.6e-05,0.0,5.2e-05,0,0,0,11.4,0.1,0.980092,0.980033,0.978492,0.981575,0.978757,0.981344,0.979059,0.981075,26,1061.5,0.980123,0.019524,0.1848,0.943761,6.1e-05,0.0,1.35593,6.1e-05,0.0,0.364044,0.358739,0.36935,0.359586,0.368492,0.360564,0.367505,0.202974,27.93,163.18,51.39,51.23,51.54,51.26,51.51,51.28,51.49,0.733,B,0,0,0,0,0,0.0,0.0,80.15,17.8,45.26,100.0,高可信,B_潜在影子,18.0,equasis_real
613442790,9282481.0,Tagor,Cameroon,Zimar Shipping,2005.0,AFRAMAX TNKR,0000-00-00,Samsung,South Korea,2,5456,35.2,3,高风险,True,False,True,True,3,Black,Low Performance,0.001085,0.000285,0.001884,0.000329,0.001632,0.00039,0.001377,6,4,0,57.1,0.2,0.902859,0.902576,0.894715,0.910436,0.896063,0.909256,0.897597,0.907879,5,732.1,0.903025,0.007312,0.4262,0.751105,0.000352,0.0,0.603272,0.000352,0.0,0.435665,0.422508,0.448823,0.424608,0.446696,0.427032,0.444247,0.26099,34.06,180.0,49.36,48.84,49.88,48.93,49.8,49.02,49.7,0.159,C,0,0,0,0,0,0.0,0.0,88.94,10.95,67.48,100.0,中可信,A_确认影子,29.0,equasis_real
525021322,9215048.0,FSO Arjuna Prima,Indonesia,Soechi Lines,2001.0,LR2 TNKR,0000-00-00,Dalian New Yard,China,3,12026,180.7,0,未命中,False,False,False,False,0,Not Listed,High Performance,0.000409,8.5e-05,0.000733,0.0001,0.000624,0.000121,0.000515,26,3,0,67.9,0.4,1.0,0.99984,0.999681,1.0,0.999775,1.0,0.999863,1.0,1,4336.1,1.000083,0.00016,0.0193,0.989379,0.00016,0.0,0.0,0.00016,0.0,0.216943,0.209577,0.224309,0.210734,0.223099,0.212073,0.221709,0.084395,15.64,150.83,49.35,49.19,49.51,49.21,49.48,49.24,49.45,0.635,B,0,0,0,0,0,0.0,0.0,46.93,13.2,21.06,72.8,高可信,B_潜在影子,24.0,equasis_real
352314000,9110183.0,Morning Sun,Panama,Undisclosed,1996.0,LR2 TNKR,0000-00-00,Onomichi Dockyard,Japan,3,28318,180.4,0,未命中,False,False,False,False,0,White,High Performance,0.00028,9.7e-05,0.000462,0.00011,0.00041,0.000126,0.000356,15,6,0,57.2,0.2,0.932234,0.932175,0.929247,0.935103,0.929735,0.93465,0.930294,0.934124,44,1629.9,0.932267,0.016592,0.3077,0.833627,6.8e-05,0.0,2.43058,6.8e-05,0.0,0.335263,0.329764,0.340761,0.330641,0.339871,0.331654,0.338847,0.155588,24.83,179.32,48.66,48.46,48.86,48.49,48.83,48.53,48.79,0.818,A,0,0,0,0,0,0.0,0.0,47.55,1.01,45.57,49.53,高可信,B_潜在影子,14.0,equasis_real
