mmsi,ship_name,country,gap_24h_ratio,non_anch_low_ratio,cog_high_vol_ratio,loitering_h_ratio,non_anch_low_max_dur_h,cog_very_high_vol_ratio,non_anch_low_events,age_risk,flag_score,msr,spc,sdr,port_dwell,port_interval,turn_nonport,san_port_dwell,san_of_port,company_count,logistic_score,logistic_score_std,logistic_score_ci95_lower,logistic_score_ci95_upper,prediction_credibility,anomaly_index,confidence_grade,sanction_sources,hit_ofac,quadrant
667001270,Astral,Sierra Leone,8.8e-05,0.045797,0.039865,0.045771,18.4,0.016084,221,2,2,0.059632,0.3484,0.131547,0.070567,0.141,1.10695,0.008108,0.114537,32.0,91.8,7.95,76.22,100.0,高可信,2.86,A,2,False,A_确认影子
613661400,Monte 1,Cameroon,0.000105,0.065839,0.038855,0.06581,67.4,0.018316,94,2,3,0.046208,0.3803,0.154394,0.137648,0.1105,1.398251,0.004245,0.030596,38.0,91.64,8.23,75.51,100.0,高可信,3.74,A,2,False,A_确认影子
613469620,Rora,Cameroon,0.00019,0.136854,0.064545,0.13682,124.2,0.030032,770,2,3,0.080199,0.4418,0.435697,0.039151,0.0836,1.116537,0.001124,0.027407,33.0,91.27,8.61,74.39,100.0,高可信,7.45,A,3,True,A_确认影子
613667000,Mirador,Cameroon,0.00028,0.078077,0.037167,0.078034,83.8,0.017962,62,2,3,0.098746,0.3512,0.282925,0.045875,0.0523,1.560729,0.001041,0.021538,46.0,91.16,8.77,73.97,100.0,高可信,4.26,A,2,False,A_确认影子
667001321,Arabesca,Sierra Leone,9.7e-05,0.126832,0.055965,0.126811,98.5,0.026391,108,2,2,0.170969,0.4271,0.242869,0.070201,0.1151,1.211266,0.001189,0.016504,75.0,90.98,8.93,73.48,100.0,高可信,6.83,A,2,False,A_确认影子
613321600,Lumin,Cameroon,0.000167,0.082549,0.04915,0.082506,24.9,0.026098,225,2,3,0.099899,0.4167,0.041985,0.138607,0.1309,1.101907,0.006741,0.048259,52.0,90.98,8.95,73.44,100.0,高可信,4.7,A,2,False,A_确认影子
613511600,Rimma,Cameroon,0.000118,0.161897,0.038764,0.161875,166.4,0.014553,101,2,3,0.091261,0.4446,0.105515,0.085826,0.1205,3.379774,0.002567,0.029473,48.0,90.94,8.95,73.4,100.0,高可信,8.06,A,2,False,A_确认影子
667001287,Tiburon,Sierra Leone,0.000394,0.079229,0.052551,0.079183,78.9,0.024032,148,2,2,0.170142,0.4041,0.292205,0.088897,0.1052,1.597825,0.004847,0.053896,30.0,90.78,7.58,75.92,100.0,高可信,4.63,A,2,False,A_确认影子
613710000,Melite,Cameroon,0.000104,0.129754,0.124393,0.129727,94.0,0.065178,849,2,3,0.127365,0.4406,0.328481,0.054007,0.1092,0.782754,0.002472,0.045063,26.0,90.72,9.03,73.02,100.0,高可信,8.33,A,2,False,A_确认影子
613414707,Silvar,Cameroon,0.000139,0.242373,0.041054,0.24236,366.4,0.017539,207,2,3,0.043364,0.415,0.392736,0.127064,0.089,2.218558,8.6e-05,0.000414,31.0,90.67,8.97,73.09,100.0,高可信,11.73,A,3,True,A_确认影子
613702110,Fortis,Cameroon,9.7e-05,0.100491,0.062505,0.100468,109.4,0.023609,81,1,3,0.076046,0.4044,0.110751,0.103956,0.1592,2.455919,0.004957,0.047393,26.0,90.44,8.54,73.7,100.0,高可信,5.77,A,2,False,A_确认影子
613411302,Smyrtos,Cameroon,0.000176,0.253119,0.069679,0.253103,341.5,0.033825,91,1,3,0.059201,0.5266,0.274529,0.105747,0.1433,1.88184,0.00363,0.033938,25.0,90.26,8.87,72.87,100.0,高可信,12.79,A,2,False,A_确认影子
