Date,Crude_Imp,PG_Imp,PG_Exp,PG_NetImp,Total_Feed
2015-09-01,2795.0,270.2,355.1,-84.90000000000003,2710.1
2015-10-01,2635.2,202.8,328.0,-125.19999999999999,2510.0
2015-11-01,2733.8,187.7,410.1,-222.40000000000003,2511.4
2015-12-01,3318.6,284.5,432.0,-147.5,3171.1
2016-01-01,2669.1,265.9,301.1,-35.200000000000045,2633.8999999999996
2016-02-01,3180.0,264.0,299.2,-35.19999999999999,3144.8
2016-03-01,3260.6,245.4,374.8,-129.4,3131.2
2016-04-01,3257.7,251.2,367.8,-116.60000000000002,3141.1
2016-05-01,3223.9,301.3,381.7,-80.39999999999998,3143.5
2016-06-01,3062.4,221.7,422.4,-200.7,2861.7000000000003
2016-07-01,3106.9,207.7,456.5,-248.8,2858.1
2016-08-01,3285.2,201.7,371.1,-169.40000000000003,3115.7999999999997
2016-09-01,3306.1,193.4,430.3,-236.9,3069.2
2016-10-01,2878.7,176.1,406.7,-230.6,2648.1
2016-11-01,3235.0,199.8,484.8,-285.0,2950.0
2016-12-01,3638.1,258.7,535.2,-276.50000000000006,3361.6
2017-01-01,3403.3,260.0,303.9,-43.89999999999998,3359.4
2017-02-01,3178.2,238.5,425.9,-187.39999999999998,2990.7999999999997
2017-03-01,3895.3,269.9,466.6,-196.70000000000005,3698.6000000000004
2017-04-01,3439.4,248.9,349.9,-100.99999999999997,3338.4
2017-05-01,3719.6,252.1,403.2,-151.1,3568.5
2017-06-01,3610.9,234.4,419.6,-185.20000000000002,3425.7000000000003
2017-07-01,3474.0,234.0,455.0,-221.0,3253.0
2017-08-01,3398.0,273.0,460.0,-187.0,3211.0
2017-09-01,3701.0,230.0,382.0,-152.0,3549.0
2017-10-01,3103.0,195.0,371.0,-176.0,2927.0
2017-11-01,3704.0,254.0,579.0,-325.0,3379.0
2017-12-01,3370.0,274.0,617.0,-343.0,3027.0
2018-01-01,4064.0,287.0,412.0,-125.0,3939.0
2018-02-01,3226.0,261.0,348.0,-87.0,3139.0
2018-03-01,3917.0,275.0,669.0,-394.0,3523.0
2018-04-01,3946.0,301.0,512.0,-211.0,3735.0
2018-05-01,3905.0,303.0,613.0,-310.0,3595.0
2018-06-01,3435.0,222.0,478.0,-256.0,3179.0
2018-07-01,3602.0,267.0,457.0,-190.0,3412.0
2018-08-01,3838.0,270.0,532.0,-262.0,3576.0
2018-09-01,3721.0,292.0,407.0,-115.0,3606.0
2018-10-01,3888.0,255.0,400.0,-145.0,3743.0
2018-11-01,4287.0,310.0,447.0,-137.0,4150.0
2018-12-01,4378.0,301.0,586.0,-285.0,4093.0
2019-01-01,4260.0,338.0,542.0,-204.0,4056.0
2019-02-01,3923.0,235.0,381.0,-146.0,3777.0
2019-03-01,3934.0,299.0,721.0,-422.0,3512.0
2019-04-01,4373.0,351.0,617.0,-266.0,4107.0
2019-05-01,4023.0,256.0,449.0,-193.0,3830.0
2019-06-01,3958.0,199.0,543.0,-344.0,3614.0
2019-07-01,4104.0,163.0,549.0,-386.0,3718.0
2019-08-01,4217.0,209.0,408.0,-199.0,4018.0
2019-09-01,4124.0,214.0,568.0,-354.0,3770.0
2019-10-01,4551.0,222.0,500.0,-278.0,4273.0
2019-11-01,4574.0,240.0,731.0,-491.0,4083.0
2019-12-01,4548.0,311.0,679.0,-368.0,4180.0
2020-01-01,4610.0,236.0,534.0,-298.0,4312.0
