Name,Vessel type,MMSI,IMO,Beneficial Owner,Registered Owner,Class,Builder,Operator,Technical Manager
0172 (Hull) China Merchants Jinling Shipyard,SMALL CHEMICAL TNKR,,1089651,Nanjing Yangyang Chemical,,,China Merchants Jinling Shipyard,Nanjing Yangyang Chemical,Nanjing Yangyang Chemical
02 (Hull) Pha Rung,SMALL CLEAN TNKR (Chemical / Product),,1016513,Yentec,,KRS,Pha Rung,Yentec,Yentec
03 (Hull) Pha Rung,SMALL CLEAN TNKR (Chemical / Product),,1016525,Yentec,,KRS,Pha Rung,Yentec,Yentec
04 (Hull) Pha Rung,SMALL CLEAN TNKR (Chemical / Product),,1044405,Yentec,,KRS,Pha Rung,Yentec,Yentec
05 (Hull) Pha Rung,SMALL CLEAN TNKR (Chemical / Product),,1044417,Yentec,,KRS,Pha Rung,Yentec,Yentec
065 (Hull) Nantong Changqingsha,SMALL CLEAN TNKR (Inland),,1094814,Undisclosed,,,Nantong Chang Qing Sha,Undisclosed,Undisclosed
066 (Hull) Nantong Changqingsha,SMALL CLEAN TNKR (Inland),,1094826,Undisclosed,,,Nantong Chang Qing Sha,Undisclosed,Undisclosed
067 (Hull) Nantong Changqingsha,SMALL CLEAN TNKR (Inland),,1094838,Undisclosed,,,Nantong Chang Qing Sha,Undisclosed,Undisclosed
072 (Hull) Nantong,SMALL CLEAN TNKR,,1086506,Undisclosed,,,Unknown Yard,Undisclosed,Undisclosed
072 (Hull) Nantong Chang Qing Sha,SMALL CLEAN TNKR,,1086518,Undisclosed,,,Nantong Chang Qing Sha,Undisclosed,Undisclosed
1 (Hull) Hyundai Heavy Industries Philippines,LR2 TNKR,,1101502,Undisclosed,,,Hyundai Heavy Industries Philippines,Undisclosed,Undisclosed
1 (Hull) Unknown Yard,SMALL CLEAN TNKR (Inland),,1049924,Undisclosed,,,Unknown Yard,Undisclosed,Undisclosed
10 (Hull) Nantong Zhenyang,SMALL CLEAN TNKR (Inland),,1098779,Undisclosed,,,Unknown Yard,Undisclosed,Undisclosed
101 Hyodong Chemi,SMALL CHEMICAL TNKR,441277000,9186467,Hyodong Shipping,HYODONG SHIPPING CO LTD,KRS,INP,Hyodong Shipping,Hyodong Shipping
10108846 (VVID) Jiangsu New Hantong,MR2 TNKR (Chemical / Product),,,,,,Jiangsu New Hantong Ship Heavy Industry,,
10113659 (VVID) Zvezda,AFRAMAX TNKR,,,Rosnefteflot,,,Zvezda,Rosnefteflot,Rosnefteflot
10113660 (VVID) Zvezda,AFRAMAX TNKR,,,Rosnefteflot,,,Zvezda,Rosnefteflot,Rosnefteflot
1012 (Hull) COSCO Zhoushan,SUEZMAX SHUTTLE TNKR (Dirty),,1028425,Knutsen NYK Offshore Tankers,,,COSCO Zhoushan,Knutsen NYK Offshore Tankers,Knutsen NYK Offshore Tankers
10122280 (VVID) Hyundai Mipo,MR2 TNKR (Chemical / Product),,,Sun Enterprises,,,Hyundai Mipo,Sun Enterprises,Sun Enterprises
10122729 (VVID) Hyundai Vietnam Shipbuilding,MR2 TNKR,,,Masumoto Shipping,,,Hyundai Vietnam Shipbuilding,Masumoto Shipping,Masumoto Shipping
10123392 (VVID) New Times,SUEZMAX TNKR,,,SFI Energy,,,New Times Shipbuilding,SFI Energy,SFI Energy
10123393 (VVID) New Times,SUEZMAX TNKR,,,SFI Energy,,,New Times Shipbuilding,SFI Energy,SFI Energy
10126738 (VVID) Hyundai Mipo,MR2 TNKR (Chemical / Product),,,Undisclosed,,,Hyundai Mipo,Undisclosed,Undisclosed
10128452 (VVID) New Times,SUEZMAX TNKR,,,Dynacom Tankers,,,New Times Shipbuilding,Dynacom Tankers,Dynacom Tankers
10128794 (VVID) Hyundai Heavy Ind,SUEZMAX TNKR,,,Sonangol,,,Hyundai Heavy Ind Ulsan Shipyard,Sonangol,Sonangol
10128795 (VVID) Hyundai Heavy Ind,SUEZMAX TNKR,,,Sonangol,,,Hyundai Heavy Ind Ulsan Shipyard,Sonangol,Sonangol
10128796 (VVID) Hyundai Heavy Ind,SUEZMAX TNKR,,,Sonangol,,,Hyundai Heavy Ind Ulsan Shipyard,Sonangol,Sonangol
10128797 (VVID) Hyundai Heavy Ind,SUEZMAX TNKR,,,Sonangol,,,Hyundai Heavy Ind Ulsan Shipyard,Sonangol,Sonangol
10129587 (VVID) New Times,SUEZMAX TNKR,,,Ludwig Mowinckels Rederi,,,New Times Shipbuilding,Ludwig Mowinckels Rederi,Ludwig Mowinckels Rederi
10129588 (VVID) New Times,SUEZMAX TNKR,,,Ludwig Mowinckels Rederi,,,New Times Shipbuilding,Ludwig Mowinckels Rederi,Ludwig Mowinckels Rederi
10129589 (VVID) New Times,SUEZMAX TNKR,,,Ludwig Mowinckels Rederi,,,New Times Shipbuilding,Ludwig Mowinckels Rederi,Ludwig Mowinckels Rederi
10129590 (VVID) New Times,SUEZMAX TNKR,,,Ludwig Mowinckels Rederi,,,New Times Shipbuilding,Ludwig Mowinckels Rederi,Ludwig Mowinckels Rederi
10130183 (VVID) Hyundai Mipo,MR2 TNKR (Chemical / Product),,,Unknown European,,,Hyundai Mipo,Unknown European,Unknown European
10130184 (VVID) Hyundai Mipo,MR2 TNKR (Chemical / Product),,,Unknown European,,,Hyundai Mipo,Unknown European,Unknown European
10130185 (VVID) Hyundai Mipo,MR2 TNKR (Chemical / Product),,,Unknown Far Eastern,,,Hyundai Mipo,Unknown Far Eastern,Unknown Far Eastern
10130186 (VVID) Hyundai Mipo,MR2 TNKR (Chemical / Product),,,Unknown Far Eastern,,,Hyundai Mipo,Unknown Far Eastern,Unknown Far Eastern
10130853 (VVID) Hyundai Mipo,MR2 TNKR,,,Nisshin Shipping,,,Hyundai Mipo,Nisshin Shipping,Nisshin Shipping
10130854 (VVID) Hyundai Mipo,MR2 TNKR,,,Nisshin Shipping,,,Hyundai Mipo,Nisshin Shipping,Nisshin Shipping
10137612 (VVID) CSSC OME,HEAVY LIFT (Semi Submersible),,,COSCO Shipping Specialized Carriers,,,Guangzhou CSSC Longxue Shipbuilding,COSCO Shipping Specialized Carriers,COSCO Shipping Specialized Carriers
10140331 (VVID) K Shipbuilding,MR2 TNKR,,,Undisclosed,,,K Shipbuilding,Undisclosed,Undisclosed
10141683 (VVID) K Shipbuilding,MR2 TNKR (Chemical / Product),,,KAMCO,,,K Shipbuilding,KAMCO,KAMCO
10141684 (VVID) K Shipbuilding,MR2 TNKR (Chemical / Product),,,KAMCO,,,K Shipbuilding,KAMCO,KAMCO
