年月,船型,价格,单位价格
2015-09-01,VLCC,95.5,318.3333333333333
2015-09-01,苏伊士型,64.5,403.125
2015-09-01,巴拿马型,45.75,610.0
2015-09-01,阿芙拉型,53.0,481.8181818181818
2015-09-01,灵便型,35.5,1109.375
2015-10-01,阿芙拉型,52.25,475.0
2015-10-01,VLCC,95.0,316.6666666666667
2015-10-01,灵便型,35.5,1109.375
2015-10-01,巴拿马型,45.0,600.0
2015-10-01,苏伊士型,63.5,396.875
2015-11-01,巴拿马型,45.0,600.0
2015-11-01,VLCC,95.0,316.6666666666667
2015-11-01,苏伊士型,63.5,396.875
2015-11-01,灵便型,35.5,1109.375
2015-11-01,阿芙拉型,52.0,472.72727272727275
2015-12-01,阿芙拉型,52.0,472.72727272727275
2015-12-01,VLCC,93.5,311.6666666666667
2015-12-01,灵便型,35.5,1109.375
2015-12-01,巴拿马型,45.0,600.0
2015-12-01,苏伊士型,63.0,393.75
2016-01-01,阿芙拉型,51.5,468.1818181818182
2016-01-01,苏伊士型,62.5,390.625
2016-01-01,灵便型,35.5,1109.375
2016-01-01,VLCC,93.5,311.6666666666667
2016-01-01,巴拿马型,45.0,600.0
2016-02-01,VLCC,93.5,311.6666666666667
2016-02-01,灵便型,35.25,1101.5625
2016-02-01,阿芙拉型,51.0,463.6363636363636
2016-02-01,苏伊士型,62.0,387.5
2016-02-01,巴拿马型,44.5,593.3333333333334
2016-03-01,巴拿马型,44.5,593.3333333333334
2016-03-01,灵便型,34.75,1085.9375
2016-03-01,苏伊士型,61.0,381.25
2016-03-01,VLCC,92.0,306.6666666666667
2016-03-01,阿芙拉型,50.0,454.54545454545456
2016-04-01,VLCC,91.5,305.0
2016-04-01,阿芙拉型,50.0,454.54545454545456
2016-04-01,苏伊士型,61.0,381.25
2016-04-01,灵便型,34.0,1062.5
2016-04-01,巴拿马型,43.5,580.0
2016-05-01,巴拿马型,43.25,576.6666666666666
2016-05-01,灵便型,33.75,1054.6875
2016-05-01,苏伊士型,60.0,375.0
2016-05-01,阿芙拉型,50.0,454.54545454545456
2016-05-01,VLCC,90.0,300.0
2016-06-01,灵便型,33.25,1039.0625
2016-06-01,阿芙拉型,48.0,436.3636363636364
2016-06-01,苏伊士型,58.0,362.5
2016-06-01,VLCC,88.0,293.3333333333333
2016-06-01,巴拿马型,42.25,563.3333333333334
2016-07-01,巴拿马型,42.0,560.0
2016-07-01,VLCC,86.0,286.6666666666667
2016-07-01,阿芙拉型,46.75,425.0
2016-07-01,灵便型,33.25,1039.0625
2016-07-01,苏伊士型,56.75,354.6875
2016-08-01,阿芙拉型,46.0,418.1818181818182
2016-08-01,巴拿马型,41.5,553.3333333333334
2016-08-01,苏伊士型,56.0,350.0
2016-08-01,VLCC,86.0,286.6666666666667
2016-08-01,灵便型,33.25,1039.0625
2016-09-01,阿芙拉型,45.0,409.09090909090907
2016-09-01,灵便型,33.0,1031.25
2016-09-01,苏伊士型,55.0,343.75
2016-09-01,VLCC,85.0,283.3333333333333
2016-09-01,巴拿马型,41.0,546.6666666666666
2016-10-01,阿芙拉型,45.0,409.09090909090907
2016-10-01,VLCC,85.0,283.3333333333333
2016-10-01,巴拿马型,41.0,546.6666666666666
2016-10-01,灵便型,33.0,1031.25
2016-10-01,苏伊士型,55.0,343.75
2016-11-01,巴拿马型,41.0,546.6666666666666
2016-11-01,灵便型,33.0,1031.25
2016-11-01,阿芙拉型,45.0,409.09090909090907
2016-11-01,苏伊士型,55.0,343.75
2016-11-01,VLCC,85.0,283.3333333333333
2016-12-01,苏伊士型,54.5,340.625
2016-12-01,阿芙拉型,44.5,404.54545454545456
2016-12-01,VLCC,84.5,281.6666666666667
2016-12-01,灵便型,32.5,1015.625
2016-12-01,巴拿马型,41.0,546.6666666666666
2017-01-01,巴拿马型,41.0,546.6666666666666
2017-01-01,苏伊士型,53.5,334.375
2017-01-01,阿芙拉型,43.5,395.45454545454544
2017-01-01,灵便型,32.5,1015.625
2017-01-01,VLCC,82.0,273.3333333333333
2017-02-01,巴拿马型,41.0,546.6666666666666
2017-02-01,灵便型,32.5,1015.625
2017-02-01,苏伊士型,53.5,334.375
2017-02-01,VLCC,81.0,270.0
2017-02-01,阿芙拉型,43.5,395.45454545454544
2017-03-01,阿芙拉型,43.0,390.90909090909093
2017-03-01,苏伊士型,53.0,331.25
2017-03-01,灵便型,32.5,1015.625
2017-03-01,VLCC,80.0,266.6666666666667
2017-03-01,巴拿马型,41.0,546.6666666666666
2017-04-01,苏伊士型,53.0,331.25
2017-04-01,巴拿马型,41.0,546.6666666666666
2017-04-01,阿芙拉型,43.0,390.90909090909093
2017-04-01,VLCC,80.0,266.6666666666667
2017-04-01,灵便型,32.5,1015.625
2017-05-01,巴拿马型,41.5,553.3333333333334
2017-05-01,灵便型,33.5,1046.875
2017-05-01,苏伊士型,53.0,331.25
2017-05-01,VLCC,80.5,268.3333333333333
2017-05-01,阿芙拉型,43.0,390.90909090909093
2017-06-01,巴拿马型,41.5,553.3333333333334
2017-06-01,灵便型,33.5,1046.875
2017-06-01,阿芙拉型,43.0,390.90909090909093
2017-06-01,VLCC,81.0,270.0
2017-06-01,苏伊士型,54.0,337.5
2017-07-01,VLCC,81.0,270.0
2017-07-01,阿芙拉型,43.0,390.90909090909093
2017-07-01,苏伊士型,54.0,337.5
2017-07-01,灵便型,33.5,1046.875
2017-07-01,巴拿马型,41.5,553.3333333333334
2017-08-01,阿芙拉型,43.0,390.90909090909093
2017-08-01,苏伊士型,54.0,337.5
2017-08-01,VLCC,81.0,270.0
2017-08-01,灵便型,33.5,1046.875
2017-08-01,巴拿马型,41.5,553.3333333333334
2017-09-01,阿芙拉型,43.0,390.90909090909093
2017-09-01,苏伊士型,54.0,337.5
2017-09-01,VLCC,81.0,270.0
2017-09-01,灵便型,33.5,1046.875
