年月,船型,船龄,折旧率
2015-09-01,VLCC,5,0.1623
2015-09-01,VLCC,10,0.4241
2015-09-01,VLCC,15,0.6021
2015-09-01,苏伊士型,5,0.0543
2015-09-01,苏伊士型,10,0.3488
2015-09-01,苏伊士型,15,0.5814
2015-09-01,巴拿马型,5,0.1803
2015-09-01,巴拿马型,10,0.4536
2015-09-01,巴拿马型,15,0.6721
2015-09-01,阿芙拉型,5,0.1509
2015-09-01,阿芙拉型,10,0.4340
2015-09-01,阿芙拉型,15,0.6604
2015-10-01,阿芙拉型,5,0.1196
2015-10-01,阿芙拉型,10,0.4067
2015-10-01,阿芙拉型,15,0.6555
2015-10-01,VLCC,5,0.1579
2015-10-01,VLCC,10,0.4211
2015-10-01,VLCC,15,0.6000
2015-10-01,巴拿马型,5,0.1889
2015-10-01,巴拿马型,10,0.4667
2015-10-01,巴拿马型,15,0.6667
2015-10-01,苏伊士型,5,0.0551
2015-10-01,苏伊士型,10,0.3386
2015-10-01,苏伊士型,15,0.5748
2015-11-01,巴拿马型,5,0.2222
2015-11-01,巴拿马型,10,0.4667
2015-11-01,巴拿马型,15,0.6667
2015-11-01,VLCC,5,0.1579
2015-11-01,VLCC,10,0.4211
2015-11-01,VLCC,15,0.6000
2015-11-01,苏伊士型,5,0.0551
2015-11-01,苏伊士型,10,0.3386
2015-11-01,苏伊士型,15,0.5748
2015-11-01,阿芙拉型,5,0.1154
2015-11-01,阿芙拉型,10,0.4038
2015-11-01,阿芙拉型,15,0.6538
2015-12-01,阿芙拉型,5,0.1154
2015-12-01,阿芙拉型,10,0.4038
2015-12-01,阿芙拉型,15,0.6538
2015-12-01,VLCC,5,0.1444
2015-12-01,VLCC,10,0.4118
2015-12-01,VLCC,15,0.5936
2015-12-01,巴拿马型,5,0.2222
2015-12-01,巴拿马型,10,0.4667
2015-12-01,巴拿马型,15,0.6667
2015-12-01,苏伊士型,5,0.0476
2015-12-01,苏伊士型,10,0.3333
2015-12-01,苏伊士型,15,0.5714
2016-01-01,阿芙拉型,5,0.1262
2016-01-01,阿芙拉型,10,0.4175
2016-01-01,阿芙拉型,15,0.6311
2016-01-01,苏伊士型,5,0.0560
2016-01-01,苏伊士型,10,0.2960
2016-01-01,苏伊士型,15,0.5200
2016-01-01,VLCC,5,0.1444
2016-01-01,VLCC,10,0.3797
2016-01-01,VLCC,15,0.5936
2016-01-01,巴拿马型,5,0.1778
2016-01-01,巴拿马型,10,0.4222
2016-01-01,巴拿马型,15,0.6444
2016-02-01,VLCC,5,0.1872
2016-02-01,VLCC,10,0.4011
2016-02-01,VLCC,15,0.6150
2016-02-01,阿芙拉型,5,0.2157
2016-02-01,阿芙拉型,10,0.4706
2016-02-01,阿芙拉型,15,0.6667
2016-02-01,苏伊士型,5,0.0806
2016-02-01,苏伊士型,10,0.3226
2016-02-01,苏伊士型,15,0.5645
2016-02-01,巴拿马型,5,0.1910
2016-02-01,巴拿马型,10,0.4157
2016-02-01,巴拿马型,15,0.6404
2016-03-01,巴拿马型,5,0.1910
2016-03-01,巴拿马型,10,0.4157
2016-03-01,巴拿马型,15,0.6404
2016-03-01,苏伊士型,5,0.1230
2016-03-01,苏伊士型,10,0.3443
2016-03-01,苏伊士型,15,0.5738
2016-03-01,VLCC,5,0.1739
2016-03-01,VLCC,10,0.3913
2016-03-01,VLCC,15,0.6087
2016-03-01,阿芙拉型,5,0.2000
2016-03-01,阿芙拉型,10,0.4600
2016-03-01,阿芙拉型,15,0.6600
2016-04-01,VLCC,5,0.1803
2016-04-01,VLCC,10,0.3989
2016-04-01,VLCC,15,0.6175
2016-04-01,阿芙拉型,5,0.2000
2016-04-01,阿芙拉型,10,0.4600
2016-04-01,阿芙拉型,15,0.6800
2016-04-01,苏伊士型,5,0.1393
2016-04-01,苏伊士型,10,0.3443
2016-04-01,苏伊士型,15,0.5738
2016-04-01,巴拿马型,5,0.1724
2016-04-01,巴拿马型,10,0.4023
2016-04-01,巴拿马型,15,0.6322
2016-05-01,巴拿马型,5,0.1908
2016-05-01,巴拿马型,10,0.4220
2016-05-01,巴拿马型,15,0.6301
2016-05-01,苏伊士型,5,0.1250
2016-05-01,苏伊士型,10,0.3500
2016-05-01,苏伊士型,15,0.5833
2016-05-01,阿芙拉型,5,0.2200
2016-05-01,阿芙拉型,10,0.4700
2016-05-01,阿芙拉型,15,0.6800
2016-05-01,VLCC,5,0.2000
2016-05-01,VLCC,10,0.4222
2016-05-01,VLCC,15,0.6444
2016-06-01,阿芙拉型,5,0.2292
2016-06-01,阿芙拉型,10,0.5000
2016-06-01,阿芙拉型,15,0.6875
2016-06-01,苏伊士型,5,0.1379
2016-06-01,苏伊士型,10,0.3621
2016-06-01,苏伊士型,15,0.6207
2016-06-01,VLCC,5,0.2727
2016-06-01,VLCC,10,0.5000
2016-06-01,VLCC,15,0.6989
2016-06-01,巴拿马型,5,0.2308
2016-06-01,巴拿马型,10,0.4793
2016-06-01,巴拿马型,15,0.6686
2016-07-01,巴拿马型,5,0.2500
2016-07-01,巴拿马型,10,0.5000
2016-07-01,巴拿马型,15,0.6667
2016-07-01,VLCC,5,0.2558
2016-07-01,VLCC,10,0.4884
2016-07-01,VLCC,15,0.6744
2016-07-01,阿芙拉型,5,0.2513
2016-07-01,阿芙拉型,10,0.5294
2016-07-01,阿芙拉型,15,0.6791
2016-07-01,苏伊士型,5,0.1806
2016-07-01,苏伊士型,10,0.4009
2016-07-01,苏伊士型,15,0.6211
2016-08-01,阿芙拉型,5,0.2826
2016-08-01,阿芙拉型,10,0.5435
2016-08-01,阿芙拉型,15,0.6739
2016-08-01,巴拿马型,5,0.2410
2016-08-01,巴拿马型,10,0.4940
2016-08-01,巴拿马型,15,0.6627
2016-08-01,苏伊士型,5,0.1964
2016-08-01,苏伊士型,10,0.4196
2016-08-01,苏伊士型,15,0.6429
2016-08-01,VLCC,5,0.2791
2016-08-01,VLCC,10,0.5233
2016-08-01,VLCC,15,0.6977
2016-09-01,阿芙拉型,5,0.2778
2016-09-01,阿芙拉型,10,0.5333
