,Pearson,Spearman,Abs_Spearman
成交额,0.923623461661431,0.9051494797204223,0.9051494797204223
序号_x,0.41927031722691505,0.6624805759195014,0.6624805759195014
序号_y,0.4155293347656237,0.6604246962635698,0.6604246962635698
VMA,0.43653068859145755,0.6278660375789773,0.6278660375789773
社会消费品零售总额:当月值,-0.3395795754893818,-0.6018123202224047,0.6018123202224047
恒生指数,0.37978867539509265,0.6015102626875459,0.6015102626875459
美国:美元兑人民币,0.35353198554976345,0.5984062906654963,0.5984062906654963
股票市场:期末市价总值,-0.39266566019624305,-0.5968625470834228,0.5968625470834228
快手概念,-0.3812546910332985,-0.5598422514008202,0.5598422514008202
数字孪生,-0.38320789805573496,-0.55968500888909,0.55968500888909
美国:欧元兑美元,0.3646123201392161,0.5492828501279408,0.5492828501279408
伦敦金融时报100指数,-0.3485444704453541,-0.5388129278743801,0.5388129278743801
沪市:股票:流通市值,-0.31484999810095565,-0.5196912311066423,0.5196912311066423
VMACD,0.35975394538906014,0.5189658551786783,0.5189658551786783
法国巴黎CAC40指数,-0.32802013330530405,-0.5055708196268569,0.5055708196268569
GDP:现价,-0.29336493665804564,-0.48270373108703124,0.48270373108703124
深市:股票:流通市值,-0.3075325840700469,-0.4776591796916057,0.4776591796916057
互联网电商,0.32742443390697884,0.4761926292884799,0.4761926292884799
美国证交所,-0.3229640746010098,-0.47009804014698636,0.47009804014698636
成交金额:上证综合指数,0.2749055299682332,0.4539776481831907,0.4539776481831907
意大利MIB指数,-0.2964935040704277,-0.4307972123752365,0.4307972123752365
全国:居民消费价格指数:当期值,-0.2536516927293294,-0.4157184559683856,0.4157184559683856
俄罗斯RTS指数,0.19306537834852378,0.3929052480001433,0.3929052480001433
互联网,-0.20412162917545953,-0.36777952411135967,0.36777952411135967
标准普尔500指数,-0.2365669571331731,-0.35451134117740735,0.35451134117740735
最高价,0.2379103758593172,0.2798180152012623,0.2798180152012623
开盘价,0.22924781830836313,0.272883635739098,0.272883635739098
创业板指数,0.20552477389282375,0.2694256092627822,0.2694256092627822
上证综合指数,-0.13926502738847815,-0.2692847191275148,0.2692847191275148
上证A股指数,-0.13839334204596787,-0.2687092883394734,0.2687092883394734
最低价,0.2202281141364056,0.26657724029107505,0.26657724029107505
数字媒体,-0.14178142992009887,-0.26351832654707347,0.26351832654707347
中国战略性新兴产业采购经理指数(EPMI):当月值,-0.19345432648795588,-0.24977676977976906,0.24977676977976906
中证500指数,-0.1177534512577458,-0.23569744636996928,0.23569744636996928
道琼斯工业平均指数,-0.13798483608005122,-0.2294759526743654,0.2294759526743654
ARBR,-0.1553652893735713,-0.22644949745272785,0.22644949745272785
EXPMA,0.19332109959769042,0.22409501843759802,0.22409501843759802
金融机构人民币贷款利率区间占比:等于LPR,0.0448127619003641,0.22067565850459855,0.22067565850459855
MA,0.18357353129809964,0.20761927092365343,0.20761927092365343
BBI,0.1911959312969167,0.20061710421935866,0.20061710421935866
成交量:上证综合指数,0.14584660525570237,0.18438279307184627,0.18438279307184627
KDJ,0.11093724075438603,0.17796414608762157,0.17796414608762157
沪深300指数,0.17958169870082394,0.17755327599224513,0.17755327599224513
深证综合指数,-0.0785402500250598,-0.17659179547045517,0.17659179547045517
BOLL,0.18130833130306584,0.1594836580005556,0.1594836580005556
BIAS,0.1007702390314049,0.13630539343302872,0.13630539343302872
RSI,0.10416836428548926,0.13164362834691587,0.13164362834691587
深证成份指数,0.12654186794550604,0.1268017339817863,0.1268017339817863
MTM,0.08831899123756669,0.10748971814362734,0.10748971814362734
上证50指数,0.016294451567508805,-0.09080188627598412,0.09080188627598412
OBV,0.16495270458476716,0.07744448369808517,0.07744448369808517
纳斯达克综合指数,0.0035958998839817485,-0.04848344520215414,0.04848344520215414
DMA,0.011454990167347736,-0.03695175106957255,0.03695175106957255
荷兰AEX指数,-0.08435480807116771,-0.026945720914215113,0.026945720914215113
MACD,0.0395134416315412,0.016637210254696153,0.016637210254696153
东京日经225指数,-0.0020976666125199,-0.012086652862865891,0.012086652862865891
指数代码_y,0.0,0.0,0.0
指数代码_x,0.0,0.0,0.0
中国香港:少于10万元人民币的存款利率:12个月:期内平均数,0.0,0.0,0.0
