,Pearson,Spearman,Abs_Spearman
最高价,0.9996264782394951,0.9995465537740806,0.9995465537740806
最低价,0.9995799630472126,0.9994750149137615,0.9994750149137615
开盘价,0.9991692219636957,0.9989596806981603,0.9989596806981603
EXPMA,0.9181702741902474,0.9163961313478435,0.9163961313478435
MA,0.8881336492518271,0.8842693434785776,0.8842693434785776
BBI,0.866959726838507,0.8558403378678638,0.8558403378678638
OBV,0.7754305640452033,0.7846913221500259,0.7846913221500259
创业板指数,0.8045900610675633,0.7804388944819466,0.7804388944819466
深证成份指数,0.782356194016852,0.7674792245965886,0.7674792245965886
DMA,0.6974077183657601,0.6956024017667634,0.6956024017667634
MACD,0.7098085825425211,0.6952129713714901,0.6952129713714901
BOLL,0.6620472623100914,0.5972687815518914,0.5972687815518914
美国证交所,-0.5500923756645918,-0.5754060489701122,0.5754060489701122
沪深300指数,0.6740635265079631,0.5686916290002367,0.5686916290002367
数字媒体,0.48227448220480196,0.5338108181485688,0.5338108181485688
VMA,0.5562298827567049,0.5274834348366487,0.5274834348366487
GDP:现价,-0.5000506967065582,-0.49990170423238217,0.49990170423238217
互联网,0.4344369413930709,0.46545469590831073,0.46545469590831073
KDJ,0.45606624553385083,0.4503603990595057,0.4503603990595057
股票市场:期末市价总值,-0.5331770881793896,-0.4479739566657877,0.4479739566657877
序号_x,0.4993660876393832,0.44415026233224336,0.44415026233224336
序号_y,0.5015906842301772,0.44409229510155246,0.44409229510155246
深证综合指数,0.426775380326126,0.43812380786440813,0.43812380786440813
RSI,0.42210117708507544,0.42497373158386437,0.42497373158386437
VMACD,0.43514034394452344,0.4068733545502951,0.4068733545502951
互联网电商,0.5731909393535067,0.3900706939857396,0.3900706939857396
BIAS,0.4057677189566432,0.37238584197664726,0.37238584197664726
美国:美元兑人民币,0.39587794058400627,0.35836357381244965,0.35836357381244965
成交额,0.2798178214608505,0.3545035428403331,0.3545035428403331
上证50指数,0.44283291369393957,0.3392631991805281,0.3392631991805281
伦敦金融时报100指数,-0.44977357772039095,-0.3359153834745758,0.3359153834745758
MTM,0.35779922040512047,0.302127316445013,0.302127316445013
意大利MIB指数,-0.41397417527941127,-0.29883536561357865,0.29883536561357865
荷兰AEX指数,-0.354747559472786,-0.2972249516567105,0.2972249516567105
中国战略性新兴产业采购经理指数(EPMI):当月值,-0.48867986438020594,-0.2930320854553105,0.2930320854553105
沪市:股票:流通市值,-0.3443263166205964,-0.2926289828391991,0.2926289828391991
全国:居民消费价格指数:当期值,0.16817369677341798,0.2690313520709877,0.2690313520709877
恒生指数,0.3568924355741685,0.264050159134387,0.264050159134387
成交金额:上证综合指数,0.1863320527123158,0.2574788570534265,0.2574788570534265
俄罗斯RTS指数,-0.11406125184574645,-0.24001861695461302,0.24001861695461302
金融机构人民币贷款利率区间占比:等于LPR,-0.28012131564811993,-0.23008374673843598,0.23008374673843598
社会消费品零售总额:当月值,-0.2371848900817379,-0.2175140828485846,0.2175140828485846
东京日经225指数,-0.18219363753276852,-0.20807296126662544,0.20807296126662544
美国:欧元兑美元,0.2594472906538559,0.18789460887495346,0.18789460887495346
ARBR,0.14953262736991108,0.1546703943591732,0.1546703943591732
法国巴黎CAC40指数,-0.2373064180419145,-0.15101421841864796,0.15101421841864796
中证500指数,-0.14254970988355073,-0.13090841330007524,0.13090841330007524
上证综合指数,-0.09894140764040418,-0.12081096530978315,0.12081096530978315
上证A股指数,-0.0972093284520579,-0.11961529574426334,0.11961529574426334
数字孪生,-0.2314592019162139,-0.09829168108849597,0.09829168108849597
快手概念,-0.18874091418505579,-0.09554707321864267,0.09554707321864267
纳斯达克综合指数,0.15670335470703292,0.0803165401099524,0.0803165401099524
标准普尔500指数,-0.085768724319562,-0.046428783013639875,0.046428783013639875
道琼斯工业平均指数,0.02529071424705183,0.04290269162911115,0.04290269162911115
深市:股票:流通市值,-0.043739047660047096,-0.023926618800506103,0.023926618800506103
成交量:上证综合指数,-0.06844675908545012,0.015849682667208802,0.015849682667208802
指数代码_y,0.0,0.0,0.0
指数代码_x,0.0,0.0,0.0
中国香港:少于10万元人民币的存款利率:12个月:期内平均数,0.0,0.0,0.0
